## Cluster  RA  Dec  Redshift
Abell 2744, 00 14 21 , -30 23 50 , 0.308
MACSJ0035.4-2015, 00 35 24 , -20 16 15 , 0.352 
Abell 2813, 00 43 27 , -20 37 01 , 0.292 
RXCJ0118.1-2658, 01 18 11 , -26 58 12 , 0.227  
Abell 209, 01 31 53 , -13 36 39 , 0.206 
MACSJ0159.8-0849, 01 59 54, -08 51 32, 0.405 
RXCJ0220.9-3829, 02 20 57, -38 28 48, 0.228  
RXCJ0232.2-4420, 02 32 18, -44 21 40, 0.284 
Abell 370, 02 39 53, -01 34 37, 0.375  
Abell S295, 02 45 28, -53 02 32, 0.300 
Abell 383, 02 48 03, -03 31 45, 0.187  
SPT-CLJ0254-5857, 02 54 16, -58 57 11, 0.438 
RXCJ0304.1-3656, 03 04 04, -36 56 27, 0.219  
Abell 3088, 03 07 02, -28 39 57, 0.253 
PLCKG171.9-40.7, 03 12 57, +08 22 19, 0.270 
Abell 3140, 03 36 16, -40 37 44, 0.062  
Abell 3192, 03 58 49, -29 56 04, 0.425 
MACSJ0416.1-2403, 04 16 09, -24 04 04, 0.420  
MACSJ0417.5-1154, 04 17 37, -11 53 45, 0.443 
MACSJ0429.6-0253, 04 29 36, -02 53 08, 0.399 
Abell 3292, 04 49 57, -44 40 24, 0.172  
Abell 520, 04 54 11, +02 56 01, 0.203  
RXCJ0528.2-2942, 05 28 15, -29 43 03, 0.158  
Abell 3364, 05 47 38, -31 52 24, 0.148  
MACSJ0553.4-3342, 05 53 24, -33 42 42, 0.407  
RXCJ0600.1-2007, 06 00 15, -20 07 27, 0.460 
1E0657, 06 58 27, -55 56 51, 0.296  
Abell S0592, 06 38 45, -53 58 22, 0.222  
MACSJ0723.3-7327, 07 23 21, -73 26 21, 0.390 
COSMOS 106, 09 59 26, +01 45 54, 0.120  
COSMOS 67, 10 17 10, +01 33 18, 0.220  
MS1008.1-1224, 10 10 24, -12 38 38, 0.306 
MACSJ1105.7-1014, 11 05 47, -10 14 46, 0.466  
MACSJ1115.9+0129, 11 15 52, +01 29 57, 0.352
Abell 1300, 11 31 56, -19 54 51, 0.308 
PLCKG287.0+32.9, 11 50 49, -28 05 07, 0.390 
MACSJ1206.2-0847, 12 06 12, -08 48 02, 0.440  
ZwCl5247, 12 34 25, +09 47 34, 0.023 
Abell 3526, 12 48 47, -41 18 32, 0.011 
MACSJ1311.0-0310, 13 11 02, -03 10 40, 0.494 
Abell 1689, 13 11 29, -01 20 10, 0.181 
Abell 3558, 13 27 59, -31 30 04, 0.048 
Abell 3571, 13 47 30, -32 52 19, 0.039 
RXJ1347.5-1145, 13 47 31, -11 45 10, 0.451 
RXCJ1514.9-1523, 15 15 00, -15 21 23, 0.223 
PLCKG308.3-20.2, 15 18 26, -81 30 10, 0.480 
Abell 2163, 16 15 49, -06 09 08, 0.203 
MACSJ1931.8-2635, 19 31 50, -26 34 34, 0.352 
Abell 3667, 20 12 34, -56 50 26, 0.055 
MS2137-2353, 21 40 15, -23 39 41, 0.313 
Abell 3827, 22 01 49, -59 57 15, 0.098 
RXJ2248.7-4431, 22 48 44, -44 31 48, 0.348 
