#     gal_num          x_image          y_image             ra              dec            g1_nopsf         g2_nopsf         g1_meas          g2_meas            fwhm       final_sigmaSize  nopsf_sigmaSize       nfw_g1           nfw_g2           nfw_mu          redshift           flux          stamp_sum         noisevar     
               1   6.56300000e+03   2.08200000e+03   2.89279296e+02  -3.31075323e+01  -2.91510420e-01  -4.78271409e-01  -2.07724554e-01  -3.36693825e-01   4.98685204e-01   1.59757566e+00   1.12537563e+00  -6.92743230e-02   5.80079273e-03   1.11394676e+00   6.22894912e-01   4.43269940e+03   4.43269922e+03   0.00000000e+00
               2   2.16700000e+03   1.90000000e+02   2.89579298e+02  -3.32166975e+01   5.88616602e-03  -4.26755231e-02  -1.46657499e-03  -1.90313557e-02   5.18799611e-01   1.13554192e+00   7.90612280e-01   5.35754560e-02  -8.99619428e-02   1.21677463e+00   9.11384435e-01   1.20765754e+03   1.20765747e+03   0.00000000e+00
               6   2.56000000e+02   1.31700000e+03   2.89710099e+02  -3.31523909e+01  -1.26786361e-01   9.67125636e-02  -9.30770292e-02   7.00056929e-02   6.43514663e-01   1.75902569e+00   1.27689230e+00  -6.76435628e-02  -4.43954764e-02   1.13494602e+00   1.03835955e+00   1.65713486e+03   1.65713477e+03   0.00000000e+00
               8   4.01900000e+03   3.64000000e+02   2.89452660e+02  -3.32064325e+01  -3.78032337e-02   4.89516474e-01  -2.92214386e-02   3.68578130e-01   5.85152455e-01   1.80126154e+00   1.33474588e+00   9.50469456e-02   8.21097332e-02   1.29546416e+00   1.08780717e+00   2.12738735e+03   2.12738745e+03   0.00000000e+00
               9   6.03800000e+03   2.38700000e+03   2.89315267e+02  -3.30902411e+01  -2.34449039e-01   3.48419655e-02  -1.95171326e-01   2.90004924e-02   7.68264195e-01   2.13366389e+00   1.88217688e+00  -7.69776207e-02  -9.60908938e-03   1.14268496e+00   5.49910318e-01   5.76377497e+03   5.76377539e+03   0.00000000e+00
              13   1.70900000e+03   1.73000000e+03   2.89610861e+02  -3.31286505e+01   0.00000000e+00   0.00000000e+00   2.63326211e-02  -7.28384425e-02  -9.99900000e+03  -9.99900000e+03  -9.99900000e+03  -1.16550636e-01  -7.96716658e-02   1.37317139e+00   1.03395623e+00   5.79512410e+02   5.79512451e+02   0.00000000e+00
              14   1.05500000e+03   3.87800000e+03   2.89655767e+02  -3.30057820e+01   0.00000000e+00   0.00000000e+00   4.00373147e-02   2.29485706e-03  -9.99900000e+03  -9.99900000e+03  -9.99900000e+03  -2.69872911e-02   8.08782978e-02   1.15459539e+00   7.75779655e-01   1.62776277e+04   1.62776289e+04   0.00000000e+00
              15   1.73000000e+03   3.70500000e+03   2.89609667e+02  -3.30156215e+01   4.26331529e-02   4.26390528e-02   3.90306306e-02   3.04870252e-02   6.24322757e-01   1.75530291e+00   1.22680175e+00  -8.04836590e-03   9.28293762e-02   1.19929485e+00   5.45534438e-01   8.46005126e+02   8.46005127e+02   0.00000000e+00
              17   6.62000000e+02   3.04900000e+03   2.89682492e+02  -3.30532750e+01   0.00000000e+00   0.00000000e+00  -3.05581352e-02   4.44294057e-02  -9.99900000e+03  -9.99900000e+03  -9.99900000e+03  -6.69019778e-02   4.49260343e-02   1.14597427e+00   6.42633861e-01   1.11419616e+03   1.11419604e+03   0.00000000e+00
              18   4.20000000e+03   2.52900000e+03   2.89440795e+02  -3.30825489e+01   0.00000000e+00   0.00000000e+00  -2.52720967e-02   2.11619860e-02  -9.99900000e+03  -9.99900000e+03  -9.99900000e+03  -1.45363260e-01  -1.16598427e-01   1.77616816e+00   6.14306501e-01   1.21088902e+03   1.21088892e+03   0.00000000e+00
