No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
1,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J134731.65-325206.7</a>",206.88167,-32.86861,G,12787.00,0.042653,UUN,,0.137,5,0,18,3,1,0,0
2,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PSZ2 G316.31+28.53</a>",206.87250,-32.87468,GClstr,11722.00,0.0391,UUN,,0.469,3,0,0,1,1,0,0
3,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">ESO 383- G 076</a>",206.86825,-32.86497,G,11567.00,0.038583,SUN,13.01,0.596,62,3,56,13,14,17,0
4,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J134727.50-325216.2</a>",206.86455,-32.87133,G,11079.00,0.036956,UUN,,0.741,3,0,18,3,1,0,0
5,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J134730.00-325251.9</a>",206.87505,-32.88108,G,10330.00,0.034457,UUN,,0.746,2,0,18,3,1,0,0
6,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">ABELL 3571</a>",206.86833,-32.84972,GClstr,11700.00,0.039027,UUN,15.8J,1.281,243,4,14,29,26,0,0
7,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J134727.99-325033.4</a>",206.86625,-32.84306,G,9872.00,0.032929,UUN,,1.689,7,0,12,2,1,0,0
8,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">2MASS J13472699-3254088</a>",206.86260,-32.90244,G,9320.00,0.031088,UUN,14.5I,2.165,3,0,6,2,1,0,0
9,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J134727.89-324944.0</a>",206.86621,-32.82889,G,10523.00,0.035101,UUN,13.01,2.497,8,0,27,4,2,2,0
10,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J134722.04-325352.6</a>",206.84167,-32.89833,G,12090.00,0.040328,SUN,,2.572,2,0,18,3,1,0,0
