No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
1,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">BULLET CLUSTER:[HBG2012] 06</a>",104.62446,-55.95106,IrS,2128527.00,7.1,PUN,25.8H,0.151,3,0,3,3,1,0,0
2,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SSTSL2 J065828.20-555655.6</a>",104.61754,-55.94878,IrS,101929.00,0.34,PUN,,0.214,1,0,10,2,1,0,0
3,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SSTSL2 J065828.81-555650.8</a>",104.62007,-55.94746,IrS,92936.00,0.31,PUN,,0.272,1,0,10,2,1,0,0
4,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">1ES 0657-558:[BBR2002] 25</a>",104.62083,-55.94639,G,87585.00,0.292152,SUN,19.84,0.337,1,0,0,1,1,0,3
5,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">2MASS J06582861-5556463</a>",104.61925,-55.94617,IrS,87569.00,0.2921,SUN,,0.351,1,0,16,3,1,0,0
6,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J065826.76-555654.0</a>",104.61158,-55.94850,G,22202.00,0.074058,SLS,,0.36,1,0,36,5,1,2,3
7,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">1ES 0657-558:[BBR2002] 29</a>",104.62917,-55.94778,G,85593.00,0.285507,SUN,21.81,0.391,1,0,0,1,1,0,3
8,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SSTSL2 J065831.58-555656.8</a>",104.63162,-55.94912,IrS,89938.00,0.3,PUN,,0.418,1,0,10,2,1,0,0
9,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J065831.23-555651.5</a>",104.62999,-55.94749,IrS,85621.00,0.2856,SUN,,0.423,1,0,22,3,1,0,0
10,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">Bullet Cluster</a>",104.62958,-55.94694,GClstr,89038.00,0.297,UUN,,0.435,299,2,7,36,32,0,2
11,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J065827.99-555733.7</a>",104.61678,-55.95931,IrS,87509.00,0.2919,SUN,,0.455,1,0,22,3,1,0,0
12,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SSTSL2 J065825.86-555652.9</a>",104.60777,-55.94806,IrS,89938.00,0.3,PUN,,0.483,1,0,10,2,1,0,0
13,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">1ES 0657-558:[BCG2006] D2</a>",104.63528,-55.95184,G_Lens,419710.00,1.4,MLE,,0.503,2,0,0,1,1,0,1
14,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SSTSL2 J065830.25-555736.7</a>",104.62605,-55.96021,IrS,86940.00,0.29,PUN,,0.529,1,0,10,2,1,0,0
15,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SSTSL2 J065832.48-555654.2</a>",104.63534,-55.94840,IrS,101929.00,0.34,PUN,,0.549,1,0,9,2,1,0,0
16,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SSTSL2 J065827.53-555738.4</a>",104.61474,-55.96068,IrS,113921.00,0.38,PUN,,0.554,1,0,10,2,1,0,0
17,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">MIPS J065831.1-555639</a>",104.62958,-55.94422,PofG,971328.00,3.24,UUN,,0.561,1,0,0,1,1,0,3
18,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SSTSL2 J065832.92-555707.1</a>",104.63719,-55.95200,IrS,90327.00,0.3013,SUN,,0.568,1,0,10,2,1,0,0
19,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SSTSL2 J065825.07-555651.4</a>",104.60471,-55.94761,G,88106.00,0.293889,SUN,21.79,0.586,3,0,20,4,3,0,3
20,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SSTSL2 J065831.14-555637.9</a>",104.62988,-55.94380,G_Lens,971328.00,3.24,UUN,,0.588,4,0,8,2,1,0,3
21,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SSTSL2 J065832.02-555643.6</a>",104.63338,-55.94532,G_Lens,629564.00,2.1,MLE,,0.594,2,0,8,2,1,0,3
22,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">1ES 0657-558:[PKR2016] 3.3</a>",104.63565,-55.95706,G_Lens,1358060.00,4.53,PUN,,0.599,1,0,0,1,1,0,0
23,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J065830.69-555739.1</a>",104.62830,-55.96100,IrS,89938.00,0.3,PUN,,0.604,2,0,33,5,1,2,0
24,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">1ES 0657-558:[PKR2016] A.3</a>",104.63055,-55.94340,G_Lens,950342.00,3.17,PUN,,0.62,1,0,0,1,1,0,0
25,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCKESZ G266.0-21:[AJF2017] P </a>",104.62466,-55.94195,GClstr,88739.00,0.296,UUN,,0.62,1,0,0,1,1,0,0
26,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">DES J0658-5556:[DBL2017] 1</a>",104.63077,-55.94314,G_Lens,125913.00,0.42,PUN,,0.637,1,0,5,1,1,0,0
27,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SSTSL2 J065833.43-555705.0</a>",104.63929,-55.95139,IrS,88679.00,0.2958,SUN,,0.639,1,0,10,2,1,0,0
28,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">1ES 0657-558:[PKR2016] E.2</a>",104.63954,-55.95117,G_Lens,947344.00,3.16,PUN,,0.648,1,0,0,1,1,0,0
29,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">1ES 0657-558:[PKR2016] 2.3</a>",104.63801,-55.95631,G_Lens,821431.00,2.74,PUN,,0.649,1,0,0,1,1,0,0
30,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SSTSL2 J065825.30-555641.2</a>",104.60567,-55.94490,G,869398.00,2.9,PUN,,0.65,1,0,12,3,1,0,3
31,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">1ES 0657-558:[BBR2002] 70</a>",104.63333,-55.94361,G,86876.00,0.289787,SUN,21.49,0.667,3,0,5,3,3,0,3
32,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">1ES 0657-558:[BCG2006] E1</a>",104.64008,-55.95062,G_Lens,299792.00,1.0,MLE,,0.67,2,0,0,1,1,0,1
33,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">DES J0658-5556:[DBL2017] B</a>",104.63260,-55.94294,G,86940.00,0.29,PUN,,0.683,2,0,5,2,2,0,0
34,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">1ES 0657-558:[BCG2006] B1</a>",104.62954,-55.94184,G_Lens,1169191.00,3.9,MLE,,0.684,1,0,0,1,1,0,3
35,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">1ES 0657-558:[PKR2016] A.2</a>",104.63158,-55.94245,G_Lens,926359.00,3.09,PUN,,0.687,1,0,0,1,1,0,0
36,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">1ES 0657-558:[PKR2016] D.1</a>",104.63943,-55.94755,G_Lens,767469.00,2.56,PUN,,0.696,1,0,0,1,1,0,0
37,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SSTSL2 J065829.43-555748.7</a>",104.62264,-55.96353,IrS,89938.00,0.3,PUN,,0.697,1,0,10,2,1,0,0
38,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SSTSL2 J065825.31-555636.9</a>",104.60548,-55.94361,IrS,86940.00,0.29,PUN,,0.708,1,0,10,2,1,0,0
39,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">1ES 0657-558:[PKR2016] D.2</a>",104.63981,-55.94731,G_Lens,701514.00,2.34,PUN,,0.713,1,0,0,1,1,0,0
40,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SSTSL2 J065831.52-555628.4</a>",104.63042,-55.94147,G_Lens,1439004.00,4.8,MLE,,0.717,2,0,8,2,1,0,3
41,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">[FBC2017] J065833.9-555655.7  </a>",104.64125,-55.94881,G,92936.00,0.31,PUN,,0.729,1,0,0,1,1,0,0
42,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SSTSL2 J065833.35-555728.9</a>",104.63917,-55.95806,G_Lens,839419.00,2.8,MLE,,0.731,2,0,10,3,1,0,1
43,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">1ES 0657-558:[PKR2016] A.1</a>",104.63293,-55.94172,G_Lens,1193174.00,3.98,PUN,,0.748,1,0,0,1,1,0,0
44,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SSTSL2 J065823.67-555717.6</a>",104.59863,-55.95490,IrS,87839.00,0.293,SUN,,0.749,1,0,10,2,1,0,0
45,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J065829.55-555751.7</a>",104.62335,-55.96440,IrS,92936.00,0.31,PUN,,0.751,1,0,22,3,1,0,0
46,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">1ES 0657-558:[PKR2016] 4.2</a>",104.64251,-55.95058,G_Lens,50965.00,0.17,PUN,,0.751,1,0,0,1,1,0,0
47,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">1ES 0657-558:[BBR2002] 27</a>",104.62500,-55.96444,G,88729.00,0.295968,SUN,22.29,0.764,1,0,0,1,1,0,1
48,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SSTSL2 J065833.95-555655.5</a>",104.64232,-55.94878,G_Lens,1049274.00,3.5,PUN,,0.765,3,0,10,3,2,0,1
