No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
1,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">[HOO2023] F150DB-082</a>",110.84479,-73.44044,G,914367.00,3.05,PSE,,0.11,1,0,0,1,1,0,0
2,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SMACS J0723:[CAR2023] I03</a>",110.84562,-73.43715,G_Lens,1113729.00,3.715,SUN,,0.16,1,0,0,1,1,0,0
3,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PSZ1 G284.97-23.69</a>",110.83950,-73.43930,GClstr,116919.00,0.39,SUN,,0.184,6,0,1,3,3,0,0
4,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">[HOO2023] F150DB-090</a>",110.85929,-73.43717,G,956338.00,3.19,PSE,,0.208,1,0,0,1,1,0,0
5,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SMACS J0723:[CAR2023] I04</a>",110.84458,-73.43506,G_Lens,2298209.00,7.666,SLS,,0.281,3,0,0,3,3,0,0
6,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">[HOO2023] F150DB-C_4</a>",110.85975,-73.44421,G_Lens,1582904.00,5.28,PSE,,0.328,3,0,0,3,3,0,0
7,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">[HOO2023] F150DB-095</a>",110.85317,-73.43367,G,854409.00,2.85,PSE,,0.352,1,0,0,1,1,0,0
8,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SMACS J0723:[CAR2023] I02</a>",110.83967,-73.44536,G_Lens,1913576.00,6.383,SLS,,0.397,2,0,0,2,2,0,0
9,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SMACS J0723:[CAR2023] I10</a>",110.83396,-73.43452,G_Lens,2297310.00,7.663,SLS,,0.407,2,0,0,2,2,0,0
10,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">[HOO2023] F200DB-159</a>",110.85563,-73.44611,G,1025290.00,3.42,PSE,,0.409,1,0,0,1,1,0,0
11,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SMACS J0723-7327:[NSB2022]0286</a>",110.82819,-73.44226,G,1819740.00,6.07,PUN,,0.412,1,0,0,1,1,0,0
