No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
1,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287+32:[ZSM2017] 01.2</a>",177.70439,-28.08466,G_Lens,1115228.00,3.72,PUN,,0.102,1,0,0,1,1,0,0
2,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287.0+32.9:[GDW2019] 131</a>",177.70078,-28.08768,G,119338.00,0.398067,SUN,,0.163,1,0,0,1,1,0,0
3,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287+32:[ZSM2017] 01.1</a>",177.70603,-28.08391,G_Lens,1127220.00,3.76,PUN,,0.195,1,0,0,1,1,0,0
4,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287+32:[ZSM2017] 08.3</a>",177.70664,-28.08945,G_Lens,317780.00,1.06,PUN,,0.276,1,0,0,1,1,0,0
5,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J115047.92-280523.9</a>",177.69969,-28.08999,IrS,119833.00,0.399721,SUN,,0.303,1,0,12,2,1,0,0
6,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287.0+32.9:[GDW2019] 136</a>",177.70197,-28.09144,G,141424.00,0.47174,SUN,,0.333,1,0,0,1,1,0,0
7,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287+32:[ZSM2017] c05.3  </a>",177.69687,-28.08781,VisS,557614.00,1.86,PUN,,0.353,1,0,0,1,1,0,0
8,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287.0+32.9:[GDW2019] 149</a>",177.70742,-28.08135,G,115233.00,0.384375,SUN,,0.357,1,0,0,1,1,0,0
9,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PSZ1 G287.00+32.90 BCG</a>",177.70900,-28.08200,G,114581.00,0.382201,SUN,,0.389,3,0,0,3,2,0,0
10,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287.0+32.9:[GDW2019] 142</a>",177.70484,-28.07952,G,115491.00,0.385238,SUN,,0.398,1,0,0,1,1,0,0
11,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SPT-CL J1150-2805</a>",177.71090,-28.08680,GClstr,116919.00,0.39,PUN,,0.41,1,0,0,1,1,0,0
12,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287+32:[ZSM2017] c20.2  </a>",177.71050,-28.08359,VisS,1762780.00,5.88,PUN,,0.413,1,0,0,1,1,0,0
13,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287+32:[ZSM2017] c20.1  </a>",177.71097,-28.08420,VisS,293797.00,0.98,PUN,,0.425,1,0,0,1,1,0,0
14,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287+32:[ZSM2017] c09.2  </a>",177.70917,-28.09111,VisS,254824.00,0.85,PUN,,0.44,1,0,0,1,1,0,0
15,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287.0+32.9:[GDW2019] 141</a>",177.70473,-28.09322,G,242086.00,0.807512,SUN,,0.441,1,0,0,1,1,0,0
16,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287+32:[ZSM2017] c09.1  </a>",177.71013,-28.09056,VisS,260819.00,0.87,PUN,,0.457,1,0,0,1,1,0,0
17,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287+32:[ZSM2017] c06.1  </a>",177.69592,-28.08099,VisS,1328081.00,4.43,PUN,,0.489,1,0,0,1,1,0,0
18,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J115048.40-280439.3</a>",177.70169,-28.07760,IrS,100002.00,0.333571,SUN,,0.51,1,0,12,2,1,0,0
19,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287.0+32.9:[GDW2019] 126</a>",177.69798,-28.07854,G,113763.00,0.379473,SUN,,0.526,1,0,0,1,1,0,0
20,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287.0+32.9:[GDW2019] 152</a>",177.70945,-28.07863,G,103331.00,0.344675,SUN,,0.552,1,0,0,1,1,0,0
21,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287+32:[ZSM2017] 08.2</a>",177.71371,-28.08693,G_Lens,911369.00,3.04,PUN,,0.559,1,0,0,1,1,0,0
22,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PSZ2 G286.98+32.90</a>",177.70500,-28.07681,GClstr,116919.00,0.39,MUN,,0.56,40,0,0,8,8,0,0
23,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287+32:[ZSM2017] c06.2  </a>",177.69680,-28.07857,VisS,1352064.00,4.51,PUN,,0.56,1,0,0,1,1,0,0
24,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287+32:[ZSM2017] 07.3</a>",177.71543,-28.08807,G_Lens,317246.00,1.058219,SUN,,0.659,2,0,0,2,2,0,0
25,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287+32:[ZSM2017] c05.4  </a>",177.69268,-28.09188,VisS,941348.00,3.14,PUN,,0.66,1,0,0,1,1,0,0
26,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287+32:[ZSM2017] 07.4</a>",177.69576,-28.09492,G_Lens,1055270.00,3.52,PUN,,0.665,1,0,0,1,1,0,0
27,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J115051.39-280448.1</a>",177.71416,-28.08003,IrS,113150.00,0.377429,SUN,,0.681,1,0,12,2,1,0,0
28,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J115051.81-280522.5</a>",177.71591,-28.08960,IrS,115059.00,0.383796,SUN,,0.707,1,0,12,2,1,0,0
29,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287+32:[ZSM2017] 19.3</a>",177.71640,-28.08786,G_Lens,2089554.00,6.97,PUN,,0.707,2,0,0,2,2,0,0
30,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287.0+32.9:[GDW2019] 180</a>",177.71667,-28.08629,G,119257.00,0.397798,SUN,,0.713,1,0,0,1,1,0,0
31,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287+32:[ZSM2017] 04.1</a>",177.71167,-28.09531,G_Lens,311784.00,1.04,PUN,,0.716,1,0,0,1,1,0,0
32,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287+32:[ZSM2017] 04.2</a>",177.71111,-28.09571,G_Lens,350757.00,1.17,PUN,,0.718,1,0,0,1,1,0,0
33,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J115050.91-280544.1</a>",177.71213,-28.09560,IrS,113889.00,0.379894,SUN,,0.745,1,0,12,2,1,0,0
34,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287+32:[ZSM2017] c17.2  </a>",177.68907,-28.08566,VisS,956338.00,3.19,PUN,,0.748,1,0,0,1,1,0,0
35,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287+32:[ZSM2017] c17.1  </a>",177.68915,-28.08359,VisS,248828.00,0.83,PUN,,0.758,1,0,0,1,1,0,0
36,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287+32:[ZSM2017] 03.2</a>",177.71332,-28.09508,G_Lens,104927.00,0.35,PUN,,0.764,1,0,0,1,1,0,0
37,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287.0+32.9:[GDW2019] 156</a>",177.71051,-28.09716,G,108951.00,0.36342,SUN,,0.773,1,0,0,1,1,0,0
38,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287+32:[ZSM2017] 07.1</a>",177.70522,-28.07322,G_Lens,995311.00,3.32,PUN,,0.774,1,0,0,1,1,0,0
39,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287+32:[ZSM2017] c18.1  </a>",177.68863,-28.08777,VisS,176878.00,0.59,PUN,,0.779,1,0,0,1,1,0,0
40,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287+32:[ZSM2017] 03.1</a>",177.71479,-28.09432,G_Lens,842417.00,2.81,PUN,,0.791,1,0,0,1,1,0,0
41,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287+32:[ZSM2017] 05.1</a>",177.71204,-28.07536,G_Lens,764471.00,2.55,PUN,,0.791,1,0,0,1,1,0,0
42,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J115051.78-280535.8</a>",177.71579,-28.09329,IrS,82078.00,0.273783,SUN,,0.797,1,0,12,2,1,0,0
43,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287+32:[ZSM2017] c18.2  </a>",177.68856,-28.08924,VisS,1019294.00,3.4,PUN,,0.799,1,0,0,1,1,0,0
