band,exp,strehl_ratio,psf,read,sky,dark,rec psf fwhm pix,rec psf fwhm arcsc,rec strehl
b,300,100,total_zernike,1,1,1,,,
b,300,100,total_zernike,1,1,1,,,
b,300,100,total_zernike,1,1,1,,,
b,300,100,total_zernike,1,1,1,,,
b,300,100,total_zernike,1,1,1,,,
b,300,100,total_zernike,1,1,1,,,
b,300,100,total_zernike,1,1,1,,,
b,300,100,total_zernike,1,1,1,,,
b,300,100,total_zernike,1,1,1,,,
b,300,100,total_zernike,1,1,1,,,
b,300,100,total_zernike,1,1,1,,,
b,300,100,total_zernike,1,1,1,,,
b,300,80,total_zernike,1,1,1,,,
b,300,80,total_zernike,1,1,1,,,
b,300,80,total_zernike,1,1,1,,,
b,300,80,total_zernike,1,1,1,,,
b,300,80,total_zernike,1,1,1,,,
b,300,80,total_zernike,1,1,1,,,
b,300,80,total_zernike,1,1,1,,,
b,300,80,total_zernike,1,1,1,,,
b,300,80,total_zernike,1,1,1,,,
b,300,80,total_zernike,1,1,1,,,
b,300,80,total_zernike,1,1,1,,,
b,300,80,total_zernike,1,1,1,,,
b,300,60,total_zernike,1,1,1,,,
b,300,60,total_zernike,1,1,1,,,
b,300,60,total_zernike,1,1,1,,,
b,300,60,total_zernike,1,1,1,,,
b,300,60,total_zernike,1,1,1,,,
b,300,60,total_zernike,1,1,1,,,
b,300,60,total_zernike,1,1,1,,,
b,300,60,total_zernike,1,1,1,,,
b,300,60,total_zernike,1,1,1,,,
b,300,60,total_zernike,1,1,1,,,
b,300,60,total_zernike,1,1,1,,,
b,300,60,total_zernike,1,1,1,,,
b,300,40,total_zernike,1,1,1,,,
b,300,40,total_zernike,1,1,1,,,
b,300,40,total_zernike,1,1,1,,,
b,300,40,total_zernike,1,1,1,,,
b,300,40,total_zernike,1,1,1,,,
b,300,40,total_zernike,1,1,1,,,
b,300,40,total_zernike,1,1,1,,,
b,300,40,total_zernike,1,1,1,,,
b,300,40,total_zernike,1,1,1,,,
b,300,40,total_zernike,1,1,1,,,
b,300,40,total_zernike,1,1,1,,,
b,300,40,total_zernike,1,1,1,,,
b,300,20,total_zernike,1,1,1,,,
b,300,20,total_zernike,1,1,1,,,
b,300,20,total_zernike,1,1,1,,,
b,300,20,total_zernike,1,1,1,,,
b,300,20,total_zernike,1,1,1,,,
b,300,20,total_zernike,1,1,1,,,
b,300,20,total_zernike,1,1,1,,,
b,300,20,total_zernike,1,1,1,,,
b,300,20,total_zernike,1,1,1,,,
b,300,20,total_zernike,1,1,1,,,
b,300,20,total_zernike,1,1,1,,,
b,300,20,total_zernike,1,1,1,,,
b,300,0,total_zernike,1,1,1,,,
b,300,0,total_zernike,1,1,1,,,
b,300,0,total_zernike,1,1,1,,,
b,300,0,total_zernike,1,1,1,,,
b,300,0,total_zernike,1,1,1,,,
b,300,0,total_zernike,1,1,1,,,
b,300,0,total_zernike,1,1,1,,,
b,300,0,total_zernike,1,1,1,,,
b,300,0,total_zernike,1,1,1,,,
b,300,0,total_zernike,1,1,1,,,
b,300,0,total_zernike,1,1,1,,,
b,300,0,total_zernike,1,1,1,,,
