band,exp,strehl_ratio,psf,read,sky,dark,rec psf fwhm pix,rec psf fwhm arcsc,rec strehl
g,300,100,total_zernike,1,1,1,,,
g,300,100,total_zernike,1,1,1,,,
g,300,100,total_zernike,1,1,1,,,
g,300,100,total_zernike,1,1,1,,,
g,300,100,total_zernike,1,1,1,,,
g,300,100,total_zernike,1,1,1,,,
g,300,100,total_zernike,1,1,1,,,
g,300,100,total_zernike,1,1,1,,,
g,300,100,total_zernike,1,1,1,,,
g,300,100,total_zernike,1,1,1,,,
g,300,100,total_zernike,1,1,1,,,
g,300,100,total_zernike,1,1,1,,,
g,300,80,total_zernike,1,1,1,,,
g,300,80,total_zernike,1,1,1,,,
g,300,80,total_zernike,1,1,1,,,
g,300,80,total_zernike,1,1,1,,,
g,300,80,total_zernike,1,1,1,,,
g,300,80,total_zernike,1,1,1,,,
g,300,80,total_zernike,1,1,1,,,
g,300,80,total_zernike,1,1,1,,,
g,300,80,total_zernike,1,1,1,,,
g,300,80,total_zernike,1,1,1,,,
g,300,80,total_zernike,1,1,1,,,
g,300,80,total_zernike,1,1,1,,,
g,300,60,total_zernike,1,1,1,,,
g,300,60,total_zernike,1,1,1,,,
g,300,60,total_zernike,1,1,1,,,
g,300,60,total_zernike,1,1,1,,,
g,300,60,total_zernike,1,1,1,,,
g,300,60,total_zernike,1,1,1,,,
g,300,60,total_zernike,1,1,1,,,
g,300,60,total_zernike,1,1,1,,,
g,300,60,total_zernike,1,1,1,,,
g,300,60,total_zernike,1,1,1,,,
g,300,60,total_zernike,1,1,1,,,
g,300,60,total_zernike,1,1,1,,,
g,300,40,total_zernike,1,1,1,,,
g,300,40,total_zernike,1,1,1,,,
g,300,40,total_zernike,1,1,1,,,
g,300,40,total_zernike,1,1,1,,,
g,300,40,total_zernike,1,1,1,,,
g,300,40,total_zernike,1,1,1,,,
g,300,40,total_zernike,1,1,1,,,
g,300,40,total_zernike,1,1,1,,,
g,300,40,total_zernike,1,1,1,,,
g,300,40,total_zernike,1,1,1,,,
g,300,40,total_zernike,1,1,1,,,
g,300,40,total_zernike,1,1,1,,,
g,300,20,total_zernike,1,1,1,,,
g,300,20,total_zernike,1,1,1,,,
g,300,20,total_zernike,1,1,1,,,
g,300,20,total_zernike,1,1,1,,,
g,300,20,total_zernike,1,1,1,,,
g,300,20,total_zernike,1,1,1,,,
g,300,20,total_zernike,1,1,1,,,
g,300,20,total_zernike,1,1,1,,,
g,300,20,total_zernike,1,1,1,,,
g,300,20,total_zernike,1,1,1,,,
g,300,20,total_zernike,1,1,1,,,
g,300,20,total_zernike,1,1,1,,,
g,300,0,total_zernike,1,1,1,,,
g,300,0,total_zernike,1,1,1,,,
g,300,0,total_zernike,1,1,1,,,
g,300,0,total_zernike,1,1,1,,,
g,300,0,total_zernike,1,1,1,,,
g,300,0,total_zernike,1,1,1,,,
g,300,0,total_zernike,1,1,1,,,
g,300,0,total_zernike,1,1,1,,,
g,300,0,total_zernike,1,1,1,,,
g,300,0,total_zernike,1,1,1,,,
g,300,0,total_zernike,1,1,1,,,
g,300,0,total_zernike,1,1,1,,,
