band,exp,strehl_ratio,psf,read,sky,dark,rec psf fwhm pix,rec psf fwhm arcsc,rec strehl
nir,300,100,total_zernike,1,1,1,,,
nir,300,100,total_zernike,1,1,1,,,
nir,300,100,total_zernike,1,1,1,,,
nir,300,100,total_zernike,1,1,1,,,
nir,300,100,total_zernike,1,1,1,,,
nir,300,100,total_zernike,1,1,1,,,
nir,300,100,total_zernike,1,1,1,,,
nir,300,100,total_zernike,1,1,1,,,
nir,300,100,total_zernike,1,1,1,,,
nir,300,100,total_zernike,1,1,1,,,
nir,300,100,total_zernike,1,1,1,,,
nir,300,100,total_zernike,1,1,1,,,
nir,300,80,total_zernike,1,1,1,,,
nir,300,80,total_zernike,1,1,1,,,
nir,300,80,total_zernike,1,1,1,,,
nir,300,80,total_zernike,1,1,1,,,
nir,300,80,total_zernike,1,1,1,,,
nir,300,80,total_zernike,1,1,1,,,
nir,300,80,total_zernike,1,1,1,,,
nir,300,80,total_zernike,1,1,1,,,
nir,300,80,total_zernike,1,1,1,,,
nir,300,80,total_zernike,1,1,1,,,
nir,300,80,total_zernike,1,1,1,,,
nir,300,80,total_zernike,1,1,1,,,
nir,300,60,total_zernike,1,1,1,,,
nir,300,60,total_zernike,1,1,1,,,
nir,300,60,total_zernike,1,1,1,,,
nir,300,60,total_zernike,1,1,1,,,
nir,300,60,total_zernike,1,1,1,,,
nir,300,60,total_zernike,1,1,1,,,
nir,300,60,total_zernike,1,1,1,,,
nir,300,60,total_zernike,1,1,1,,,
nir,300,60,total_zernike,1,1,1,,,
nir,300,60,total_zernike,1,1,1,,,
nir,300,60,total_zernike,1,1,1,,,
nir,300,60,total_zernike,1,1,1,,,
nir,300,40,total_zernike,1,1,1,,,
nir,300,40,total_zernike,1,1,1,,,
nir,300,40,total_zernike,1,1,1,,,
nir,300,40,total_zernike,1,1,1,,,
nir,300,40,total_zernike,1,1,1,,,
nir,300,40,total_zernike,1,1,1,,,
nir,300,40,total_zernike,1,1,1,,,
nir,300,40,total_zernike,1,1,1,,,
nir,300,40,total_zernike,1,1,1,,,
nir,300,40,total_zernike,1,1,1,,,
nir,300,40,total_zernike,1,1,1,,,
nir,300,40,total_zernike,1,1,1,,,
nir,300,20,total_zernike,1,1,1,,,
nir,300,20,total_zernike,1,1,1,,,
nir,300,20,total_zernike,1,1,1,,,
nir,300,20,total_zernike,1,1,1,,,
nir,300,20,total_zernike,1,1,1,,,
nir,300,20,total_zernike,1,1,1,,,
nir,300,20,total_zernike,1,1,1,,,
nir,300,20,total_zernike,1,1,1,,,
nir,300,20,total_zernike,1,1,1,,,
nir,300,20,total_zernike,1,1,1,,,
nir,300,20,total_zernike,1,1,1,,,
nir,300,20,total_zernike,1,1,1,,,
nir,300,0,total_zernike,1,1,1,,,
nir,300,0,total_zernike,1,1,1,,,
nir,300,0,total_zernike,1,1,1,,,
nir,300,0,total_zernike,1,1,1,,,
nir,300,0,total_zernike,1,1,1,,,
nir,300,0,total_zernike,1,1,1,,,
nir,300,0,total_zernike,1,1,1,,,
nir,300,0,total_zernike,1,1,1,,,
nir,300,0,total_zernike,1,1,1,,,
nir,300,0,total_zernike,1,1,1,,,
nir,300,0,total_zernike,1,1,1,,,
nir,300,0,total_zernike,1,1,1,,,
