wavelength,fnu
300,8.242274117875021e-29
301,8.18632817454984e-29
302,8.130382231224657e-29
303,8.074436287899476e-29
304,8.018490344574295e-29
305,7.962544401249113e-29
306,7.906598457923932e-29
307,7.850652514598751e-29
308,7.794706571273569e-29
309,7.738760627948387e-29
310,7.682814684623206e-29
311,7.626868741298025e-29
312,7.570922797972843e-29
313,7.514976854647661e-29
314,7.45903091132248e-29
315,7.403084967997298e-29
316,7.347139024672117e-29
317,7.291193081346936e-29
318,7.235247138021753e-29
319,7.179301194696572e-29
320,7.123355251371391e-29
321,7.06740930804621e-29
322,7.011463364721028e-29
323,6.955517421395847e-29
324,6.899571478070664e-29
325,6.843625534745483e-29
326,6.787679591420302e-29
327,6.731733648095121e-29
328,6.675787704769938e-29
329,6.619841761444757e-29
330,6.563895818119575e-29
331,6.507949874794394e-29
332,6.452003931469213e-29
333,6.396057988144032e-29
334,6.34011204481885e-29
335,6.284166101493668e-29
336,6.228220158168487e-29
337,6.172274214843305e-29
338,6.116328271518124e-29
339,6.060382328192942e-29
340,6.004436384867761e-29
341,5.948490441542579e-29
342,5.892544498217398e-29
343,5.836598554892216e-29
344,5.780652611567034e-29
345,5.724706668241853e-29
346,5.668760724916672e-29
347,5.612814781591491e-29
348,5.556868838266309e-29
349,5.500922894941126e-29
350,5.444976951615945e-29
351,5.389031008290764e-29
352,5.333085064965583e-29
353,5.277139121640402e-29
354,5.22119317831522e-29
355,5.165247234990038e-29
356,5.109301291664856e-29
357,5.053355348339675e-29
358,4.997409405014494e-29
359,4.941463461689312e-29
360,4.8855175183641303e-29
361,4.829571575038949e-29
362,4.7736256317137675e-29
363,4.7176796883885863e-29
364,4.6617337450634046e-29
365,4.605787801738223e-29
366,4.549841858413042e-29
367,4.49389591508786e-29
368,4.437949971762679e-29
369,4.382004028437497e-29
370,4.3260580851123154e-29
371,4.270112141787134e-29
372,4.2141661984619526e-29
373,4.158220255136771e-29
374,4.1022743118115897e-29
375,4.046328368486408e-29
376,3.990382425161227e-29
377,3.934436481836045e-29
378,3.878490538510864e-29
379,3.822544595185682e-29
380,3.7665986518605005e-29
381,3.7106527085353194e-29
382,3.6547067652101376e-29
383,3.598760821884956e-29
384,3.542814878559775e-29
385,3.486868935234593e-29
386,3.4309229919094113e-29
387,3.37497704858423e-29
388,3.319031105259049e-29
389,3.2630851619338673e-29
390,3.2071392186086856e-29
391,3.1511932752835044e-29
392,3.095247331958323e-29
393,3.039301388633141e-29
394,2.98335544530796e-29
395,2.927409501982778e-29
396,2.8714635586575964e-29
397,2.815517615332415e-29
398,2.759571672007234e-29
399,2.703625728682052e-29
400,2.6476797853568707e-29
401,2.5917338420316895e-29
402,2.535787898706508e-29
403,2.4798419553813264e-29
404,2.4238960120561447e-29
405,2.3679500687309632e-29
406,2.3120041254057815e-29
407,2.2560581820806004e-29
408,2.2001122387554187e-29
409,2.1441662954302375e-29
410,2.0882203521050558e-29
411,2.032274408779874e-29
412,1.976328465454693e-29
413,1.9203825221295112e-29
414,1.86443657880433e-29
415,1.8084906354791483e-29
416,1.7525446921539666e-29
417,1.6965987488287855e-29
418,1.6406528055036037e-29
419,1.5847068621784226e-29
420,1.528760918853241e-29
421,1.4728149755280592e-29
422,1.416869032202878e-29
423,1.3609230888776963e-29
424,1.3049771455525146e-29
425,1.2490312022273334e-29
426,1.1930852589021517e-29
427,1.1371393155769705e-29
428,1.0811933722517888e-29
429,1.0252474289266071e-29
430,9.69301485601426e-30
431,9.133555422762442e-30
432,8.574095989510631e-30
433,8.014636556258814e-30
434,7.455177123006997e-30
435,6.895717689755185e-30
436,6.336258256503368e-30
437,5.7767988232515564e-30
438,5.450915756276274e-30
439,5.6700442106128606e-30
440,5.8891726649494476e-30
