wavelength,fnu
300,1.8905175320492417e-28
301,1.8794201633045104e-28
302,1.8683227945597791e-28
303,1.8572254258150478e-28
304,1.8461280570703165e-28
305,1.8350306883255853e-28
306,1.823933319580854e-28
307,1.8128359508361225e-28
308,1.8017385820913912e-28
309,1.79064121334666e-28
310,1.7795438446019286e-28
311,1.7684464758571973e-28
312,1.757349107112466e-28
313,1.7462517383677348e-28
314,1.7351543696230035e-28
315,1.7240570008782722e-28
316,1.712959632133541e-28
317,1.7018622633888094e-28
318,1.6907648946440781e-28
319,1.6796675258993468e-28
320,1.6685701571546155e-28
321,1.6574727884098843e-28
322,1.646375419665153e-28
323,1.6352780509204217e-28
324,1.6241806821756904e-28
325,1.6130833134309591e-28
326,1.6019859446862278e-28
327,1.5908885759414966e-28
328,1.5797912071967653e-28
329,1.568693838452034e-28
330,1.5575964697073027e-28
331,1.5464991009625712e-28
332,1.53540173221784e-28
333,1.5243043634731086e-28
334,1.5132069947283773e-28
335,1.502109625983646e-28
336,1.4910122572389148e-28
337,1.4799148884941835e-28
338,1.4688175197494522e-28
339,1.457720151004721e-28
340,1.4466227822599894e-28
341,1.4355254135152581e-28
342,1.4244280447705268e-28
343,1.4133306760257956e-28
344,1.4022333072810643e-28
345,1.391135938536333e-28
346,1.3800385697916017e-28
347,1.3689412010468704e-28
348,1.3578438323021391e-28
349,1.3467464635574079e-28
350,1.3356490948126766e-28
351,1.3245517260679453e-28
352,1.313454357323214e-28
353,1.3023569885784827e-28
354,1.2912596198337514e-28
355,1.2801622510890201e-28
356,1.2690648823442886e-28
357,1.2579675135995574e-28
358,1.246870144854826e-28
359,1.2357727761100948e-28
360,1.2246754073653635e-28
361,1.2135780386206322e-28
362,1.202480669875901e-28
363,1.1913833011311696e-28
364,1.1802859323864384e-28
365,1.169188563641707e-28
366,1.1580911948969758e-28
367,1.1469938261522445e-28
368,1.135896457407513e-28
369,1.1247990886627817e-28
370,1.1137017199180504e-28
371,1.1026043511733191e-28
372,1.0915069824285879e-28
373,1.0804096136838566e-28
374,1.0693122449391253e-28
375,1.058214876194394e-28
376,1.0471175074496627e-28
377,1.0360201387049314e-28
378,1.0249227699602002e-28
379,1.0138254012154689e-28
380,1.0027280324707376e-28
381,9.916306637260063e-29
382,9.805332949812749e-29
383,9.694359262365436e-29
384,9.583385574918123e-29
385,9.47241188747081e-29
386,9.361438200023498e-29
387,9.250464512576184e-29
388,9.139490825128871e-29
389,9.028517137681558e-29
390,8.917543450234245e-29
391,8.806569762786932e-29
392,8.69559607533962e-29
393,8.584622387892307e-29
394,8.473648700444994e-29
395,8.362675012997681e-29
396,8.251701325550368e-29
397,8.140727638103055e-29
398,8.029753950655742e-29
399,7.918780263208428e-29
400,7.807806575761116e-29
401,7.696832888313803e-29
402,7.58585920086649e-29
403,7.474885513419176e-29
404,7.363911825971863e-29
405,7.25293813852455e-29
406,7.141964451077237e-29
407,7.030990763629925e-29
408,6.920017076182612e-29
409,6.809043388735299e-29
410,6.698069701287986e-29
411,6.587096013840673e-29
412,6.47612232639336e-29
413,6.365148638946046e-29
414,6.254174951498734e-29
415,6.143201264051421e-29
416,6.032227576604108e-29
417,5.921253889156795e-29
418,5.810280201709482e-29
419,5.699306514262169e-29
420,5.588332826814856e-29
421,5.477359139367543e-29
422,5.36638545192023e-29
423,5.255411764472917e-29
424,5.144438077025604e-29
425,5.033464389578291e-29
426,4.9224907021309783e-29
427,4.8115170146836654e-29
428,4.7005433272363526e-29
429,4.5895696397890386e-29
430,4.478595952341726e-29
431,4.367622264894413e-29
432,4.2566485774471e-29
433,4.145674889999787e-29
434,4.0347012025524744e-29
435,3.9237275151051616e-29
436,3.812753827657849e-29
437,3.701780140210535e-29
438,3.6370115388970854e-29
439,3.680054805229311e-29
440,3.723098071561536e-29
441,3.766141337893762e-29
442,3.8091846042259875e-29
443,3.852227870558213e-29
444,3.895271136890439e-29
445,3.938314403222664e-29
446,3.9813576695548896e-29
447,4.0244009358871155e-29
448,4.067444202219341e-29
449,4.110487468551566e-29
450,4.153530734883792e-29
451,4.1965740012160176e-29
452,4.239617267548243e-29
453,4.282660533880469e-29
454,4.3257038002126943e-29
455,4.3687470665449197e-29
456,4.4117903328771456e-29
457,4.454833599209371e-29
458,4.4978768655415964e-29
459,4.5409201318738223e-29
460,4.5839633982060477e-29
461,4.627006664538273e-29
462,4.670049930870499e-29
463,4.7130931972027244e-29
464,4.75613646353495e-29
465,4.799179729867176e-29
466,4.842222996199401e-29
467,4.8852662625316265e-29
468,4.9283095288638524e-29
469,4.971352795196078e-29
470,5.014396061528303e-29
471,5.057439327860529e-29
472,5.100482594192755e-29
473,5.14352586052498e-29
474,5.186569126857206e-29
475,5.229612393189431e-29
476,5.272655659521657e-29
477,5.315698925853882e-29
478,5.358742192186107e-29
479,5.401785458518333e-29
480,5.444828724850559e-29
481,5.487871991182785e-29
482,5.53091525751501e-29
483,5.573958523847235e-29
484,5.617001790179462e-29
485,5.660045056511687e-29
486,5.703088322843913e-29
487,5.746131589176138e-29
488,5.789174855508363e-29
489,5.832218121840589e-29
490,5.875261388172814e-29
491,5.91830465450504e-29
492,5.961347920837266e-29
493,6.004391187169491e-29
494,6.047434453501717e-29
495,6.090477719833942e-29
496,6.133520986166169e-29
497,6.176564252498394e-29
498,6.21960751883062e-29
499,6.262650785162845e-29
500,6.30569405149507e-29
501,6.348737317827296e-29
502,6.391780584159521e-29
503,6.434823850491746e-29
504,6.477867116823972e-29
505,6.520910383156198e-29
506,6.563953649488424e-29
507,6.606996915820649e-29
508,6.650040182152876e-29
509,6.693083448485101e-29
510,6.736126714817326e-29
511,6.779169981149552e-29
512,6.822213247481777e-29
513,6.865256513814002e-29
514,6.908299780146228e-29
515,6.951343046478453e-29
516,6.994386312810679e-29
517,7.037429579142905e-29
518,7.08047284547513e-29
519,7.123516111807356e-29
520,7.166559378139582e-29
521,7.209602644471808e-29
522,7.252645910804033e-29
523,7.295689177136259e-29
524,7.338732443468484e-29
525,7.381775709800709e-29
526,7.424818976132935e-29
527,7.46786224246516e-29
528,7.510905508797385e-29
529,7.553948775129612e-29
530,7.596992041461837e-29
531,7.640035307794063e-29
532,7.683078574126289e-29
533,7.726121840458515e-29
534,7.76916510679074e-29
535,7.812208373122965e-29
536,7.855251639455191e-29
537,7.898294905787416e-29
538,7.941338172119641e-29
539,7.984381438451867e-29
540,8.027424704784092e-29
541,8.070467971116319e-29
542,8.113511237448544e-29
543,8.15655450378077e-29
544,8.199597770112996e-29
545,8.242641036445221e-29
546,8.285684302777447e-29
547,8.328727569109672e-29
548,8.371770835441898e-29
549,8.412515900462275e-29
550,8.444068160235261e-29
551,8.475620420008245e-29
552,8.507172679781231e-29
553,8.538724939554216e-29
554,8.570277199327202e-29
555,8.601829459100188e-29
556,8.633381718873172e-29
557,8.664933978646158e-29
558,8.696486238419143e-29
559,8.728038498192129e-29
560,8.759590757965115e-29
561,8.791143017738099e-29
562,8.822695277511085e-29
563,8.85424753728407e-29
564,8.885799797057056e-29
565,8.91735205683004e-29
566,8.948904316603026e-29
567,8.980456576376012e-29
568,9.012008836148997e-29
569,9.043561095921983e-29
570,9.075113355694967e-29
571,9.106665615467953e-29
572,9.138217875240939e-29
573,9.169770135013924e-29
574,9.201322394786909e-29
575,9.232874654559894e-29
576,9.26442691433288e-29
577,9.295979174105866e-29
578,9.327531433878851e-29
579,9.359083693651836e-29
580,9.390635953424821e-29
581,9.422188213197807e-29
582,9.453740472970793e-29
583,9.485292732743777e-29
584,9.516844992516763e-29
585,9.548397252289748e-29
586,9.579949512062734e-29
587,9.61150177183572e-29
588,9.643054031608705e-29
589,9.67460629138169e-29
590,9.706158551154675e-29
591,9.737710810927661e-29
592,9.769263070700645e-29
593,9.800815330473631e-29
594,9.832367590246617e-29
595,9.863919850019602e-29
596,9.895472109792588e-29
597,9.927024369565574e-29
598,9.958576629338558e-29
599,9.990128889111544e-29
600,1.0021681148884529e-28
601,1.0053233408657515e-28
602,1.0084785668430499e-28
603,1.0116337928203485e-28
604,1.014789018797647e-28
605,1.0179442447749456e-28
606,1.0210994707522442e-28
607,1.0242546967295427e-28
608,1.0274099227068413e-28
609,1.0305651486841399e-28
610,1.0337203746614382e-28
611,1.0368756006387368e-28
612,1.0400308266160353e-28
613,1.043186052593334e-28
614,1.0463412785706325e-28
615,1.049496504547931e-28
616,1.0526517305252296e-28
617,1.0558069565025281e-28
618,1.0589621824798265e-28
619,1.062117408457125e-28
620,1.0652726344344236e-28
621,1.0684278604117222e-28
622,1.0715830863890207e-28
623,1.0747383123663193e-28
624,1.0778935383436179e-28
625,1.0810487643209164e-28
626,1.084203990298215e-28
627,1.0873592162755135e-28
628,1.0905144422528119e-28
629,1.0936696682301104e-28
630,1.096824894207409e-28
631,1.0999801201847076e-28
632,1.1031353461620061e-28
633,1.1062905721393047e-28
634,1.1094457981166033e-28
635,1.1126010240939018e-28
636,1.1157562500712002e-28
637,1.1189114760484987e-28
638,1.1220667020257973e-28
639,1.1252219280030958e-28
640,1.1283771539803944e-28
641,1.131532379957693e-28
642,1.1346876059349915e-28
643,1.13784283191229e-28
644,1.1409980578895886e-28
645,1.1441532838668872e-28
646,1.1473085098441858e-28
647,1.1504637358214843e-28
648,1.1536189617987827e-28
649,1.1567741877760812e-28
650,1.1599294137533798e-28
651,1.1630846397306784e-28
652,1.181118486727889e-28
653,1.2140309547450116e-28
654,1.2469434227621344e-28
655,1.279855890779257e-28
656,1.3127683587963797e-28
657,1.3456808268135023e-28
658,1.3785932948306251e-28
659,1.4115057628477477e-28
660,1.4444182308648704e-28
661,1.4773306988819932e-28
662,1.5102431668991158e-28
663,1.5431556349162385e-28
664,1.576068102933361e-28
665,1.6089805709504837e-28
666,1.6418930389676063e-28
667,1.6748055069847292e-28
668,1.7077179750018518e-28
669,1.7406304430189746e-28
670,1.7735429110360973e-28
671,1.8064553790532199e-28
672,1.8393678470703425e-28
673,1.8722803150874651e-28
674,1.9051927831045877e-28
675,1.9381052511217106e-28
676,1.9710177191388332e-28
677,2.003930187155956e-28
678,2.0368426551730787e-28
679,2.0697551231902013e-28
680,2.102667591207324e-28
681,2.1355800592244465e-28
682,2.168492527241569e-28
683,2.201404995258692e-28
684,2.2343174632758144e-28
685,2.267229931292937e-28
686,2.30014239931006e-28
687,2.3330548673271827e-28
688,2.3659673353443053e-28
689,2.398879803361428e-28
690,2.431792271378551e-28
691,2.4647047393956737e-28
692,2.4976172074127963e-28
693,2.530529675429919e-28
694,2.5634421434470415e-28
695,2.596354611464164e-28
696,2.6292670794812868e-28
697,2.6621795474984094e-28
698,2.695092015515532e-28
699,2.7280044835326546e-28
700,2.7609169515497772e-28
701,2.7938294195669e-28
702,2.826741887584023e-28
703,2.8596543556011456e-28
704,2.892566823618268e-28
705,2.925479291635391e-28
706,2.958391759652514e-28
707,2.9913042276696365e-28
708,3.024216695686759e-28
709,3.0571291637038817e-28
710,3.0900416317210044e-28
711,3.122954099738127e-28
712,3.1558665677552496e-28
713,3.188779035772372e-28
714,3.221691503789495e-28
715,3.2546039718066175e-28
716,3.28751643982374e-28
717,3.3204289078408627e-28
718,3.3533413758579853e-28
719,3.386253843875108e-28
720,3.4191663118922315e-28
721,3.452078779909354e-28
722,3.4849912479264767e-28
723,3.5179037159435993e-28
724,3.550816183960722e-28
725,3.5837286519778446e-28
726,3.616641119994967e-28
727,3.64955358801209e-28
728,3.6824660560292124e-28
729,3.715378524046335e-28
730,3.7482909920634577e-28
731,3.7812034600805803e-28
732,3.814115928097703e-28
733,3.8470283961148255e-28
734,3.879940864131948e-28
735,3.912853332149071e-28
736,3.9457658001661943e-28
737,3.978678268183317e-28
738,4.0115907362004396e-28
739,4.044503204217562e-28
740,4.077415672234685e-28
741,4.110328140251807e-28
742,4.14324060826893e-28
743,4.176153076286053e-28
744,4.209065544303175e-28
745,4.241978012320298e-28
746,4.2748904803374205e-28
747,4.307802948354543e-28
748,4.340715416371666e-28
749,4.373627884388788e-28
750,4.406540352405911e-28
751,4.439452820423034e-28
752,4.472365288440157e-28
753,4.50527775645728e-28
754,4.538190224474402e-28
755,4.571102692491525e-28
756,4.604015160508648e-28
757,4.63692762852577e-28
758,4.669840096542893e-28
759,4.7027525645600155e-28
760,4.735665032577138e-28
761,4.768577500594261e-28
762,4.801489968611383e-28
763,4.834402436628506e-28
764,4.867314904645629e-28
765,4.900227372662751e-28
766,4.933139840679874e-28
767,4.9660523086969965e-28
768,4.99896477671412e-28
769,5.031877244731243e-28
770,5.064789712748365e-28
771,5.097702180765488e-28
772,5.1306146487826105e-28
773,5.163527116799733e-28
774,5.196439584816856e-28
775,5.229352052833978e-28
776,5.262264520851101e-28
777,5.295176988868224e-28
778,5.328089456885346e-28
779,5.361001924902469e-28
780,5.3939143929195914e-28
781,5.426826860936714e-28
782,5.459739328953837e-28
783,5.492651796970959e-28
784,5.525564264988082e-28
785,5.558476733005205e-28
786,5.591389201022327e-28
787,5.62430166903945e-28
788,5.657214137056573e-28
789,5.690126605073696e-28
790,5.723039073090819e-28
791,5.755951541107941e-28
792,5.788864009125064e-28
793,5.821776477142186e-28
794,5.854688945159309e-28
795,5.887601413176432e-28
796,5.920513881193554e-28
797,5.953426349210677e-28
798,5.9863388172277995e-28
799,6.019251285244922e-28
800,6.052163753262045e-28
801,6.085076221279167e-28
802,6.11798868929629e-28
803,6.150901157313413e-28
804,6.183813625330535e-28
805,6.216726093347659e-28
806,6.249638561364781e-28
807,6.282551029381904e-28
808,6.315463497399027e-28
809,6.348375965416149e-28
810,6.381288433433272e-28
811,6.4142009014503945e-28
812,6.447113369467517e-28
813,6.48002583748464e-28
814,6.512938305501762e-28
815,6.545850773518885e-28
816,6.578763241536008e-28
817,6.61167570955313e-28
818,6.644588177570253e-28
819,6.677500645587376e-28
820,6.710413113604499e-28
821,6.743325581621622e-28
822,6.776238049638744e-28
823,6.809150517655867e-28
824,6.8420629856729895e-28
825,6.874975453690112e-28
826,6.907887921707235e-28
827,6.940800389724357e-28
828,6.97371285774148e-28
829,7.0066253257586035e-28
830,7.039537793775726e-28
831,7.072450261792849e-28
832,7.105362729809971e-28
833,7.138275197827094e-28
834,7.171187665844217e-28
835,7.204100133861339e-28
836,7.237012601878462e-28
837,7.2699250698955845e-28
838,7.302837537912707e-28
839,7.33575000592983e-28
840,7.368662473946952e-28
841,7.401574941964075e-28
842,7.434487409981198e-28
843,7.46739987799832e-28
844,7.500312346015443e-28
845,7.533224814032566e-28
846,7.566137282049689e-28
847,7.599049750066812e-28
848,7.631962218083934e-28
849,7.664874686101057e-28
850,7.697787154118179e-28
851,7.730699622135302e-28
852,7.763612090152425e-28
853,7.796524558169547e-28
854,7.82943702618667e-28
855,7.862349494203793e-28
856,7.895261962220916e-28
857,7.928174430238039e-28
858,7.961086898255161e-28
859,7.993999366272284e-28
860,8.0269118342894065e-28
861,8.059824302306529e-28
862,8.092736770323652e-28
863,8.125649238340774e-28
864,8.158561706357897e-28
865,8.19147417437502e-28
866,8.224386642392142e-28
867,8.257299110409265e-28
868,8.290211578426388e-28
869,8.32312404644351e-28
870,8.356036514460633e-28
871,8.388948982477755e-28
872,8.421861450494878e-28
873,8.454773918512002e-28
874,8.487686386529125e-28
875,8.520598854546248e-28
876,8.55351132256337e-28
877,8.586423790580493e-28
878,8.619336258597616e-28
879,8.652248726614738e-28
880,8.68516119463186e-28
881,8.718073662648983e-28
882,8.750986130666106e-28
883,8.783898598683229e-28
884,8.816811066700351e-28
885,8.849723534717474e-28
886,8.882636002734597e-28
887,8.91554847075172e-28
888,8.948460938768842e-28
889,8.981373406785964e-28
890,9.014285874803087e-28
891,9.04719834282021e-28
892,9.080110810837332e-28
893,9.113023278854455e-28
894,9.145935746871577e-28
895,9.1788482148887e-28
896,9.211760682905823e-28
897,9.244673150922945e-28
898,9.277585618940068e-28
899,9.31049808695719e-28
900,9.343410554974313e-28
901,9.376323022991436e-28
902,9.409235491008558e-28
903,9.442147959025681e-28
904,9.475060427042804e-28
905,9.507972895059928e-28
906,9.54088536307705e-28
907,9.573797831094173e-28
908,9.606710299111296e-28
909,9.639622767128419e-28
910,9.672535235145541e-28
911,9.705447703162664e-28
912,9.738360171179786e-28
913,9.771272639196909e-28
914,9.804185107214032e-28
915,9.837097575231154e-28
916,9.870010043248277e-28
917,9.9029225112654e-28
918,9.935834979282522e-28
919,9.968747447299645e-28
920,1.0001659915316767e-27
921,1.0034572383333892e-27
922,1.0067484851351014e-27
923,1.0100397319368137e-27
924,1.013330978738526e-27
925,1.0166222255402382e-27
926,1.0199134723419505e-27
927,1.0232047191436628e-27
928,1.026495965945375e-27
929,1.0297872127470873e-27
930,1.0330784595487995e-27
931,1.0363697063505118e-27
932,1.039660953152224e-27
933,1.0429521999539363e-27
934,1.0462434467556486e-27
935,1.0495346935573609e-27
936,1.0528259403590731e-27
937,1.0561171871607854e-27
938,1.0594084339624976e-27
939,1.0626996807642099e-27
940,1.0659909275659222e-27
941,1.0692821743676344e-27
942,1.0725734211693467e-27
943,1.075864667971059e-27
944,1.0791559147727712e-27
945,1.0824471615744835e-27
946,1.0857384083761957e-27
947,1.089029655177908e-27
948,1.0923209019796203e-27
949,1.0956121487813325e-27
950,1.0989033955830448e-27
951,1.102194642384757e-27
952,1.1054858891864693e-27
953,1.1087771359881816e-27
954,1.1120683827898938e-27
955,1.1153596295916061e-27
956,1.1186508763933184e-27
957,1.1219421231950306e-27
958,1.1252333699967429e-27
959,1.1285246167984553e-27
960,1.1318158636001676e-27
961,1.1351071104018798e-27
962,1.1383983572035921e-27
963,1.1416896040053044e-27
964,1.1449808508070166e-27
965,1.1482720976087289e-27
966,1.1515633444104412e-27
967,1.1548545912121534e-27
968,1.1581458380138657e-27
969,1.161437084815578e-27
970,1.1647283316172902e-27
971,1.1680195784190025e-27
972,1.171310825220715e-27
973,1.1746020720224272e-27
974,1.1778933188241394e-27
975,1.1811845656258517e-27
976,1.184475812427564e-27
977,1.1877670592292762e-27
978,1.1910583060309885e-27
979,1.1943495528327007e-27
980,1.197640799634413e-27
981,1.2009320464361253e-27
982,1.2042232932378375e-27
983,1.2075145400395498e-27
984,1.210805786841262e-27
985,1.2140970336429743e-27
986,1.2173882804446866e-27
987,1.2206795272463988e-27
988,1.2239707740481111e-27
989,1.2272620208498234e-27
990,1.2305532676515356e-27
991,1.2338445144532479e-27
992,1.2371357612549602e-27
993,1.2404270080566724e-27
994,1.2437182548583847e-27
995,1.247009501660097e-27
996,1.2503007484618092e-27
997,1.2535919952635215e-27
998,1.2568832420652337e-27
999,1.260174488866946e-27
1000,1.2634657356686583e-27
1001,1.2667569824703705e-27
1002,1.2700482292720828e-27
1003,1.273339476073795e-27
1004,1.2766307228755073e-27
1005,1.2799219696772196e-27
1006,1.2832132164789318e-27
1007,1.286504463280644e-27
1008,1.2897957100823563e-27
1009,1.2930869568840686e-27
1010,1.296378203685781e-27
1011,1.2996694504874933e-27
1012,1.3029606972892056e-27
1013,1.3062519440909178e-27
1014,1.3095431908926301e-27
1015,1.3128344376943424e-27
1016,1.3161256844960546e-27
1017,1.3194169312977669e-27
1018,1.3227081780994792e-27
1019,1.3259994249011914e-27
1020,1.3292906717029037e-27
1021,1.332581918504616e-27
1022,1.3358731653063282e-27
1023,1.3391644121080406e-27
1024,1.3424556589097529e-27
1025,1.3457469057114652e-27
1026,1.3490381525131774e-27
1027,1.3523293993148897e-27
1028,1.355620646116602e-27
1029,1.3589118929183142e-27
1030,1.3622031397200265e-27
1031,1.3654943865217387e-27
1032,1.368785633323451e-27
1033,1.3720768801251633e-27
1034,1.3753681269268755e-27
1035,1.3786593737285878e-27
1036,1.3819506205303e-27
1037,1.3852418673320123e-27
1038,1.3885331141337246e-27
1039,1.3918243609354368e-27
1040,1.3951156077371491e-27
1041,1.3984068545388614e-27
1042,1.4016981013405736e-27
1043,1.4049893481422859e-27
1044,1.4082805949439981e-27
1045,1.4115718417457104e-27
1046,1.4148630885474227e-27
1047,1.418154335349135e-27
1048,1.4214455821508472e-27
1049,1.4247368289525595e-27
1050,1.4280280757542717e-27
1051,1.431319322555984e-27
1052,1.4346105693576962e-27
