wavelength,fnu
300,7.64918422713462e-29
301,7.603172787841941e-29
302,7.557161348549261e-29
303,7.511149909256583e-29
304,7.465138469963904e-29
305,7.419127030671225e-29
306,7.373115591378546e-29
307,7.327104152085867e-29
308,7.281092712793188e-29
309,7.235081273500509e-29
310,7.18906983420783e-29
311,7.143058394915152e-29
312,7.097046955622472e-29
313,7.051035516329793e-29
314,7.005024077037114e-29
315,6.959012637744436e-29
316,6.913001198451756e-29
317,6.866989759159077e-29
318,6.820978319866398e-29
319,6.77496688057372e-29
320,6.72895544128104e-29
321,6.682944001988361e-29
322,6.636932562695682e-29
323,6.590921123403004e-29
324,6.544909684110325e-29
325,6.498898244817645e-29
326,6.452886805524966e-29
327,6.406875366232287e-29
328,6.360863926939609e-29
329,6.31485248764693e-29
330,6.26884104835425e-29
331,6.222829609061572e-29
332,6.176818169768893e-29
333,6.130806730476214e-29
334,6.084795291183534e-29
335,6.038783851890855e-29
336,5.992772412598177e-29
337,5.946760973305498e-29
338,5.900749534012819e-29
339,5.85473809472014e-29
340,5.808726655427461e-29
341,5.762715216134782e-29
342,5.716703776842103e-29
343,5.670692337549423e-29
344,5.624680898256745e-29
345,5.578669458964066e-29
346,5.532658019671387e-29
347,5.486646580378709e-29
348,5.440635141086029e-29
349,5.39462370179335e-29
350,5.348612262500671e-29
351,5.302600823207992e-29
352,5.256589383915312e-29
353,5.210577944622634e-29
354,5.164566505329955e-29
355,5.118555066037277e-29
356,5.072543626744598e-29
357,5.0265321874519184e-29
358,4.980520748159239e-29
359,4.9345093088665605e-29
360,4.888497869573881e-29
361,4.8424864302812026e-29
362,4.7964749909885233e-29
363,4.7504635516958446e-29
364,4.704452112403166e-29
365,4.6584406731104867e-29
366,4.6124292338178074e-29
367,4.566417794525129e-29
368,4.52040635523245e-29
369,4.474394915939771e-29
370,4.428383476647092e-29
371,4.382372037354413e-29
372,4.336360598061734e-29
373,4.290349158769055e-29
374,4.244337719476376e-29
375,4.198326280183697e-29
376,4.1523148408910183e-29
377,4.106303401598339e-29
378,4.0602919623056604e-29
379,4.014280523012981e-29
380,3.9682690837203024e-29
381,3.922257644427623e-29
382,3.8762462051349445e-29
383,3.830234765842265e-29
384,3.7842233265495866e-29
385,3.7382118872569073e-29
386,3.6922004479642286e-29
387,3.6461890086715494e-29
388,3.6001775693788707e-29
389,3.5541661300861914e-29
390,3.508154690793513e-29
391,3.462143251500834e-29
392,3.416131812208155e-29
393,3.3701203729154756e-29
394,3.324108933622797e-29
395,3.278097494330118e-29
396,3.232086055037439e-29
397,3.1860746157447597e-29
398,3.140063176452081e-29
399,3.0940517371594023e-29
400,3.048040297866723e-29
401,3.002028858574044e-29
402,2.956017419281365e-29
403,2.9100059799886865e-29
404,2.863994540696007e-29
405,2.817983101403328e-29
406,2.771971662110649e-29
407,2.7259602228179706e-29
408,2.6799487835252913e-29
409,2.633937344232612e-29
410,2.5879259049399334e-29
411,2.5419144656472547e-29
412,2.4959030263545755e-29
413,2.4498915870618965e-29
414,2.4038801477692178e-29
415,2.3578687084765388e-29
416,2.3118572691838596e-29
417,2.265845829891181e-29
418,2.2198343905985016e-29
419,2.173822951305823e-29
420,2.1278115120131437e-29
421,2.081800072720465e-29
422,2.0357886334277858e-29
423,1.989777194135107e-29
424,1.9437657548424278e-29
425,1.8977543155497492e-29
426,1.85174287625707e-29
427,1.8057314369643912e-29
428,1.759719997671712e-29
429,1.7137085583790333e-29
430,1.6676971190863546e-29
431,1.6216856797936753e-29
432,1.5756742405009967e-29
433,1.5296628012083174e-29
434,1.4836513619156387e-29
435,1.4376399226229595e-29
436,1.3916284833302808e-29
437,1.3456170440376015e-29
438,1.319757281474074e-29
439,1.3409180979452315e-29
440,1.3620789144163891e-29
441,1.3832397308875468e-29
442,1.4044005473587044e-29
443,1.425561363829862e-29
444,1.4467221803010194e-29
445,1.467882996772177e-29
446,1.4890438132433346e-29
447,1.5102046297144923e-29
448,1.53136544618565e-29
449,1.5525262626568075e-29
450,1.573687079127965e-29
451,1.5948478955991225e-29
452,1.6160087120702801e-29
453,1.6371695285414378e-29
454,1.6583303450125954e-29
455,1.679491161483753e-29
456,1.7006519779549104e-29
457,1.721812794426068e-29
458,1.7429736108972256e-29
459,1.7641344273683833e-29
460,1.785295243839541e-29
461,1.8064560603106985e-29
462,1.8276168767818562e-29
463,1.8487776932530135e-29
464,1.8699385097241712e-29
465,1.8910993261953288e-29
466,1.9122601426664864e-29
467,1.933420959137644e-29
468,1.9545817756088014e-29
469,1.9757425920799593e-29
470,1.9969034085511167e-29
471,2.0180642250222743e-29
472,2.039225041493432e-29
473,2.0603858579645895e-29
474,2.0815466744357472e-29
475,2.1027074909069045e-29
476,2.1238683073780624e-29
477,2.1450291238492198e-29
478,2.1661899403203774e-29
479,2.187350756791535e-29
480,2.2085115732626924e-29
481,2.2296723897338503e-29
482,2.2508332062050077e-29
483,2.2719940226761656e-29
484,2.293154839147323e-29
485,2.3143156556184805e-29
486,2.3354764720896382e-29
487,2.3566372885607955e-29
488,2.3777981050319534e-29
489,2.3989589215031108e-29
490,2.4201197379742684e-29
491,2.441280554445426e-29
492,2.4624413709165837e-29
493,2.4836021873877413e-29
494,2.5047630038588987e-29
495,2.5259238203300566e-29
496,2.547084636801214e-29
497,2.568245453272372e-29
498,2.589406269743529e-29
499,2.6105670862146865e-29
500,2.6317279026858444e-29
501,2.652888719157002e-29
502,2.6740495356281597e-29
503,2.695210352099317e-29
504,2.7163711685704744e-29
505,2.7375319850416323e-29
506,2.75869280151279e-29
507,2.7798536179839476e-29
508,2.801014434455105e-29
509,2.822175250926262e-29
510,2.84333606739742e-29
511,2.864496883868578e-29
512,2.8856577003397354e-29
513,2.906818516810893e-29
514,2.92797933328205e-29
515,2.949140149753208e-29
516,2.970300966224366e-29
517,2.9914617826955233e-29
518,3.0126225991666807e-29
519,3.0337834156378386e-29
520,3.054944232108996e-29
521,3.076105048580154e-29
522,3.097265865051311e-29
523,3.1184266815224685e-29
524,3.1395874979936265e-29
525,3.1607483144647844e-29
526,3.1819091309359417e-29
527,3.203069947407099e-29
528,3.2242307638782564e-29
529,3.2453915803494143e-29
530,3.266552396820572e-29
531,3.2877132132917296e-29
532,3.308874029762887e-29
533,3.3300348462340443e-29
534,3.351195662705202e-29
535,3.37235647917636e-29
536,3.3935172956475175e-29
537,3.414678112118675e-29
538,3.4358389285898327e-29
539,3.4569997450609906e-29
540,3.478160561532148e-29
541,3.4993213780033053e-29
542,3.5204821944744627e-29
543,3.5416430109456206e-29
544,3.5628038274167785e-29
545,3.583964643887936e-29
546,3.605125460359093e-29
547,3.6262862768302505e-29
548,3.6474470933014085e-29
549,3.667784983952641e-29
550,3.684831171324176e-29
551,3.7018773586957103e-29
552,3.718923546067245e-29
553,3.735969733438779e-29
554,3.7530159208103137e-29
555,3.770062108181848e-29
556,3.7871082955533825e-29
557,3.804154482924917e-29
558,3.821200670296452e-29
559,3.8382468576679864e-29
560,3.855293045039521e-29
561,3.8723392324110553e-29
562,3.88938541978259e-29
563,3.906431607154124e-29
564,3.9234777945256586e-29
565,3.9405239818971936e-29
566,3.957570169268728e-29
567,3.9746163566402625e-29
568,3.991662544011797e-29
569,4.0087087313833314e-29
570,4.025754918754866e-29
571,4.0428011061264e-29
572,4.059847293497935e-29
573,4.0768934808694697e-29
574,4.093939668241004e-29
575,4.1109858556125386e-29
576,4.128032042984073e-29
577,4.1450782303556074e-29
578,4.162124417727142e-29
579,4.1791706050986763e-29
580,4.196216792470211e-29
581,4.213262979841746e-29
582,4.23030916721328e-29
583,4.2473553545848146e-29
584,4.264401541956349e-29
585,4.2814477293278835e-29
586,4.298493916699418e-29
587,4.315540104070953e-29
588,4.3325862914424874e-29
589,4.349632478814022e-29
590,4.3666786661855563e-29
591,4.383724853557091e-29
592,4.400771040928625e-29
593,4.4178172283001596e-29
594,4.434863415671694e-29
595,4.4519096030432285e-29
596,4.4689557904147635e-29
597,4.486001977786298e-29
598,4.5030481651578324e-29
599,4.520094352529367e-29
600,4.537140539900901e-29
601,4.5541867272724357e-29
602,4.5712329146439707e-29
603,4.588279102015505e-29
604,4.6053252893870396e-29
605,4.622371476758574e-29
606,4.6394176641301084e-29
607,4.656463851501643e-29
608,4.6735100388731773e-29
609,4.690556226244712e-29
610,4.707602413616246e-29
611,4.724648600987781e-29
612,4.7416947883593156e-29
613,4.75874097573085e-29
614,4.7757871631023845e-29
615,4.792833350473919e-29
616,4.8098795378454534e-29
617,4.8269257252169884e-29
618,4.843971912588523e-29
619,4.861018099960057e-29
620,4.8780642873315917e-29
621,4.895110474703126e-29
622,4.9121566620746606e-29
623,4.929202849446195e-29
624,4.9462490368177295e-29
625,4.963295224189264e-29
626,4.9803414115607984e-29
627,4.9973875989323334e-29
628,5.014433786303868e-29
629,5.031479973675402e-29
630,5.0485261610469367e-29
631,5.065572348418472e-29
632,5.082618535790006e-29
633,5.09966472316154e-29
634,5.116710910533075e-29
635,5.133757097904609e-29
636,5.150803285276144e-29
637,5.167849472647678e-29
638,5.184895660019213e-29
639,5.201941847390747e-29
640,5.218988034762282e-29
641,5.236034222133816e-29
642,5.253080409505352e-29
643,5.270126596876886e-29
644,5.28717278424842e-29
645,5.304218971619955e-29
646,5.321265158991489e-29
647,5.338311346363024e-29
648,5.355357533734558e-29
649,5.372403721106093e-29
650,5.389449908477627e-29
651,5.406496095849162e-29
652,5.53346077422421e-29
653,5.770343943602772e-29
654,6.007227112981333e-29
655,6.244110282359896e-29
656,6.480993451738458e-29
657,6.71787662111702e-29
658,6.954759790495582e-29
659,7.191642959874144e-29
660,7.428526129252707e-29
661,7.665409298631268e-29
662,7.902292468009831e-29
663,8.139175637388393e-29
664,8.376058806766954e-29
665,8.612941976145517e-29
666,8.849825145524079e-29
667,9.08670831490264e-29
668,9.323591484281203e-29
669,9.560474653659765e-29
670,9.797357823038327e-29
671,1.0034240992416889e-28
672,1.0271124161795452e-28
673,1.0508007331174015e-28
674,1.0744890500552575e-28
675,1.0981773669931136e-28
676,1.1218656839309699e-28
677,1.1455540008688261e-28
678,1.1692423178066824e-28
679,1.1929306347445387e-28
680,1.2166189516823948e-28
681,1.240307268620251e-28
682,1.263995585558107e-28
683,1.2876839024959634e-28
684,1.3113722194338196e-28
685,1.335060536371676e-28
686,1.358748853309532e-28
687,1.3824371702473882e-28
688,1.4061254871852443e-28
689,1.4298138041231006e-28
690,1.4535021210609569e-28
691,1.4771904379988131e-28
692,1.5008787549366694e-28
693,1.5245670718745255e-28
694,1.5482553888123815e-28
695,1.5719437057502378e-28
696,1.595632022688094e-28
697,1.6193203396259503e-28
698,1.6430086565638064e-28
699,1.6666969735016627e-28
700,1.690385290439519e-28
701,1.7140736073773752e-28
702,1.7377619243152313e-28
703,1.7614502412530876e-28
704,1.7851385581909438e-28
705,1.8088268751287999e-28
706,1.8325151920666562e-28
707,1.8562035090045124e-28
708,1.8798918259423685e-28
709,1.9035801428802248e-28
710,1.927268459818081e-28
711,1.950956776755937e-28
712,1.9746450936937934e-28
713,1.9983334106316496e-28
714,2.0220217275695057e-28
715,2.045710044507362e-28
716,2.0693983614452183e-28
717,2.0930866783830745e-28
718,2.1167749953209304e-28
719,2.140463312258787e-28
720,2.164151629196643e-28
721,2.187839946134499e-28
722,2.2115282630723555e-28
723,2.2352165800102117e-28
724,2.258904896948068e-28
725,2.282593213885924e-28
726,2.3062815308237806e-28
727,2.3299698477616364e-28
728,2.3536581646994927e-28
729,2.377346481637349e-28
730,2.401034798575205e-28
731,2.4247231155130615e-28
732,2.4484114324509173e-28
733,2.472099749388774e-28
734,2.49578806632663e-28
735,2.519476383264486e-28
736,2.5431647002023424e-28
737,2.5668530171401983e-28
738,2.590541334078055e-28
739,2.614229651015911e-28
740,2.6379179679537676e-28
741,2.6616062848916234e-28
742,2.685294601829479e-28
743,2.708982918767336e-28
744,2.7326712357051918e-28
745,2.7563595526430485e-28
746,2.7800478695809043e-28
747,2.803736186518761e-28
748,2.827424503456617e-28
749,2.8511128203944727e-28
750,2.8748011373323294e-28
751,2.8984894542701853e-28
752,2.922177771208042e-28
753,2.945866088145898e-28
754,2.9695544050837536e-28
755,2.9932427220216104e-28
756,3.016931038959466e-28
757,3.040619355897323e-28
758,3.0643076728351787e-28
