wavelength,fnu
300,1.8272729434753608e-28
301,1.8172349480735755e-28
302,1.8071969526717902e-28
303,1.797158957270005e-28
304,1.78712096186822e-28
305,1.7770829664664347e-28
306,1.7670449710646494e-28
307,1.7570069756628642e-28
308,1.746968980261079e-28
309,1.7369309848592937e-28
310,1.7268929894575084e-28
311,1.7168549940557234e-28
312,1.7068169986539381e-28
313,1.6967790032521529e-28
314,1.6867410078503676e-28
315,1.6767030124485824e-28
316,1.6666650170467971e-28
317,1.6566270216450119e-28
318,1.6465890262432266e-28
319,1.6365510308414416e-28
320,1.6265130354396563e-28
321,1.616475040037871e-28
322,1.6064370446360858e-28
323,1.5963990492343006e-28
324,1.5863610538325153e-28
325,1.57632305843073e-28
326,1.566285063028945e-28
327,1.5562470676271598e-28
328,1.5462090722253745e-28
329,1.5361710768235893e-28
330,1.526133081421804e-28
331,1.5160950860200187e-28
332,1.5060570906182335e-28
333,1.4960190952164485e-28
334,1.4859810998146632e-28
335,1.475943104412878e-28
336,1.4659051090110927e-28
337,1.4558671136093074e-28
338,1.4458291182075222e-28
339,1.435791122805737e-28
340,1.425753127403952e-28
341,1.4157151320021666e-28
342,1.4056771366003814e-28
343,1.3956391411985961e-28
344,1.3856011457968109e-28
345,1.3755631503950256e-28
346,1.3655251549932404e-28
347,1.3554871595914553e-28
348,1.34544916418967e-28
349,1.3354111687878848e-28
350,1.3253731733860996e-28
351,1.3153351779843143e-28
352,1.3052971825825293e-28
353,1.2952591871807438e-28
354,1.2852211917789588e-28
355,1.2751831963771733e-28
356,1.2651452009753883e-28
357,1.255107205573603e-28
358,1.2450692101718178e-28
359,1.2350312147700327e-28
360,1.2249932193682472e-28
361,1.2149552239664622e-28
362,1.204917228564677e-28
363,1.1948792331628917e-28
364,1.1848412377611064e-28
365,1.1748032423593212e-28
366,1.164765246957536e-28
367,1.154727251555751e-28
368,1.1446892561539656e-28
369,1.1346512607521804e-28
370,1.1246132653503951e-28
371,1.1145752699486099e-28
372,1.1045372745468246e-28
373,1.0944992791450396e-28
