wavelength,fnu
300,8.48545001206899e-29
301,8.425430770683609e-29
302,8.365411529298226e-29
303,8.305392287912844e-29
304,8.245373046527462e-29
305,8.18535380514208e-29
306,8.125334563756698e-29
307,8.065315322371316e-29
308,8.005296080985934e-29
309,7.945276839600552e-29
310,7.88525759821517e-29
311,7.825238356829788e-29
312,7.765219115444406e-29
313,7.705199874059024e-29
314,7.645180632673643e-29
315,7.58516139128826e-29
316,7.525142149902878e-29
317,7.465122908517496e-29
318,7.405103667132114e-29
319,7.345084425746732e-29
320,7.285065184361351e-29
321,7.225045942975968e-29
322,7.165026701590586e-29
323,7.105007460205205e-29
324,7.044988218819822e-29
325,6.98496897743444e-29
326,6.924949736049059e-29
327,6.864930494663676e-29
328,6.804911253278294e-29
329,6.744892011892913e-29
330,6.68487277050753e-29
331,6.624853529122148e-29
332,6.564834287736767e-29
333,6.504815046351385e-29
334,6.444795804966002e-29
335,6.38477656358062e-29
336,6.324757322195238e-29
337,6.264738080809856e-29
338,6.204718839424474e-29
339,6.144699598039093e-29
340,6.08468035665371e-29
341,6.024661115268328e-29
342,5.964641873882946e-29
343,5.904622632497564e-29
344,5.844603391112182e-29
345,5.784584149726801e-29
346,5.724564908341419e-29
347,5.664545666956036e-29
348,5.604526425570654e-29
349,5.544507184185272e-29
350,5.48448794279989e-29
351,5.424468701414509e-29
352,5.364449460029127e-29
353,5.304430218643744e-29
354,5.244410977258362e-29
355,5.18439173587298e-29
356,5.124372494487598e-29
357,5.064353253102217e-29
358,5.0043340117168345e-29
359,4.944314770331452e-29
360,4.8842955289460706e-29
361,4.8242762875606884e-29
362,4.764257046175306e-29
363,4.7042378047899246e-29
364,4.6442185634045424e-29
365,4.58419932201916e-29
366,4.5241800806337786e-29
367,4.4641608392483964e-29
368,4.404141597863015e-29
369,4.3441223564776325e-29
370,4.2841031150922503e-29
371,4.2240838737068687e-29
372,4.1640646323214865e-29
373,4.104045390936105e-29
374,4.0440261495507227e-29
375,3.9840069081653405e-29
376,3.923987666779959e-29
377,3.8639684253945766e-29
378,3.8039491840091945e-29
379,3.743929942623813e-29
380,3.6839107012384306e-29
381,3.6238914598530484e-29
382,3.563872218467667e-29
383,3.5038529770822846e-29
384,3.4438337356969024e-29
385,3.383814494311521e-29
386,3.323795252926139e-29
387,3.2637760115407564e-29
388,3.203756770155375e-29
389,3.143737528769993e-29
390,3.083718287384611e-29
391,3.0236990459992287e-29
392,2.963679804613847e-29
393,2.903660563228465e-29
394,2.8436413218430827e-29
395,2.783622080457701e-29
396,2.723602839072319e-29
397,2.6635835976869366e-29
398,2.603564356301555e-29
399,2.543545114916173e-29
400,2.483525873530791e-29
