wavelength,fnu
300,1.942019446331502e-28
301,1.930059398955577e-28
302,1.918099351579652e-28
303,1.906139304203727e-28
304,1.894179256827802e-28
305,1.8822192094518772e-28
306,1.8702591620759523e-28
307,1.8582991147000272e-28
308,1.8463390673241024e-28
309,1.8343790199481775e-28
310,1.8224189725722524e-28
311,1.8104589251963276e-28
312,1.7984988778204025e-28
313,1.7865388304444776e-28
314,1.7745787830685528e-28
315,1.7626187356926277e-28
316,1.7506586883167029e-28
317,1.7386986409407778e-28
318,1.726738593564853e-28
319,1.714778546188928e-28
320,1.702818498813003e-28
321,1.6908584514370781e-28
322,1.6788984040611533e-28
323,1.6669383566852282e-28
324,1.6549783093093033e-28
325,1.6430182619333785e-28
326,1.6310582145574534e-28
327,1.6190981671815286e-28
328,1.6071381198056035e-28
329,1.5951780724296786e-28
330,1.5832180250537535e-28
331,1.5712579776778287e-28
332,1.5592979303019038e-28
333,1.5473378829259787e-28
334,1.535377835550054e-28
335,1.523417788174129e-28
336,1.511457740798204e-28
337,1.499497693422279e-28
338,1.4875376460463542e-28
339,1.4755775986704292e-28
340,1.4636175512945043e-28
341,1.4516575039185792e-28
342,1.4396974565426544e-28
343,1.4277374091667293e-28
344,1.4157773617908044e-28
345,1.4038173144148796e-28
346,1.3918572670389545e-28
347,1.3798972196630296e-28
348,1.3679371722871048e-28
349,1.3559771249111797e-28
350,1.3440170775352549e-28
351,1.33205703015933e-28
352,1.320096982783405e-28
353,1.3081369354074798e-28
354,1.2961768880315552e-28
355,1.2842168406556301e-28
356,1.272256793279705e-28
357,1.2602967459037802e-28
358,1.2483366985278553e-28
359,1.2363766511519303e-28
360,1.2244166037760054e-28
361,1.2124565564000806e-28
362,1.2004965090241555e-28
363,1.1885364616482306e-28
364,1.1765764142723055e-28
365,1.1646163668963807e-28
366,1.1526563195204558e-28
367,1.1406962721445307e-28
368,1.128736224768606e-28
369,1.116776177392681e-28
370,1.104816130016756e-28
371,1.092856082640831e-28
372,1.080896035264906e-28
373,1.0689359878889812e-28
374,1.0569759405130563e-28
375,1.0450158931371312e-28
376,1.0330558457612064e-28
377,1.0210957983852815e-28
378,1.0091357510093564e-28
379,9.971757036334316e-29
380,9.852156562575066e-29
381,9.732556088815816e-29
382,9.612955615056568e-29
383,9.493355141297317e-29
384,9.373754667538069e-29
385,9.254154193778819e-29
386,9.134553720019569e-29
387,9.014953246260321e-29
388,8.895352772501071e-29
389,8.775752298741821e-29
390,8.656151824982573e-29
391,8.536551351223322e-29
392,8.416950877464073e-29
393,8.297350403704824e-29
394,8.177749929945574e-29
395,8.058149456186325e-29
396,7.938548982427076e-29
397,7.818948508667826e-29
398,7.699348034908578e-29
399,7.579747561149327e-29
400,7.460147087390078e-29
401,7.340546613630829e-29
402,7.220946139871579e-29
403,7.10134566611233e-29
404,6.981745192353081e-29
405,6.862144718593831e-29
406,6.742544244834581e-29
407,6.622943771075333e-29
408,6.503343297316083e-29
409,6.383742823556833e-29
410,6.264142349797584e-29
411,6.144541876038335e-29
412,6.024941402279085e-29
413,5.905340928519836e-29
414,5.785740454760586e-29
415,5.666139981001338e-29
416,5.546539507242088e-29
417,5.426939033482838e-29
418,5.307338559723589e-29
419,5.18773808596434e-29
420,5.06813761220509e-29
421,4.9485371384458406e-29
422,4.828936664686591e-29
423,4.7093361909273424e-29
424,4.589735717168093e-29
425,4.470135243408843e-29
426,4.3505347696495934e-29
427,4.230934295890345e-29
428,4.111333822131095e-29
429,3.9917333483718455e-29
430,3.872132874612596e-29
431,3.752532400853347e-29
432,3.6329319270940976e-29
433,3.513331453334848e-29
434,3.393730979575598e-29
435,3.2741305058163497e-29
436,3.1545300320571e-29
437,3.0349295582978503e-29
438,2.9607228121362837e-29
439,2.992434763702636e-29
440,3.024146715268988e-29
441,3.05585866683534e-29
442,3.087570618401692e-29
443,3.119282569968044e-29
444,3.1509945215343963e-29
445,3.1827064731007485e-29
446,3.2144184246671006e-29
447,3.2461303762334527e-29
448,3.277842327799804e-29
449,3.3095542793661563e-29
450,3.3412662309325084e-29
451,3.3729781824988606e-29
452,3.4046901340652127e-29
453,3.436402085631565e-29
454,3.468114037197917e-29
455,3.499825988764269e-29
456,3.531537940330621e-29
457,3.563249891896973e-29
458,3.5949618434633253e-29
459,3.626673795029677e-29
460,3.6583857465960296e-29
461,3.690097698162381e-29
462,3.721809649728733e-29
463,3.7535216012950853e-29
464,3.7852335528614374e-29
465,3.8169455044277895e-29
466,3.8486574559941417e-29
467,3.880369407560494e-29
468,3.912081359126846e-29
469,3.943793310693198e-29
470,3.9755052622595495e-29
471,4.007217213825902e-29
472,4.038929165392254e-29
473,4.070641116958606e-29
474,4.102353068524958e-29
475,4.13406502009131e-29
476,4.165776971657662e-29
477,4.1974889232240143e-29
478,4.2292008747903664e-29
479,4.2609128263567185e-29
480,4.2926247779230706e-29
481,4.324336729489422e-29
482,4.356048681055775e-29
483,4.3877606326221264e-29
484,4.419472584188479e-29
485,4.4511845357548306e-29
486,4.482896487321183e-29
487,4.514608438887535e-29
488,4.546320390453887e-29
489,4.578032342020239e-29
490,4.609744293586591e-29
491,4.6414562451529433e-29
492,4.673168196719295e-29
493,4.7048801482856475e-29
494,4.736592099851999e-29
495,4.768304051418352e-29
496,4.8000160029847033e-29
