,wavelengths,transmission
0,300,4.0105989707772863e-07
1,301,1.3228930607765305e-06
2,302,4.012070233412737e-06
3,303,4.110295635076549e-06
4,304,4.21692068165209e-06
5,305,4.334772044478547e-06
6,306,4.458068688246313e-06
7,307,4.588536329300286e-06
8,308,4.728120503914112e-06
9,309,4.878100347721647e-06
10,310,2.8191434577988247e-06
11,311,1.8652368766011866e-06
12,312,5.1108269020750215e-06
13,313,5.151506285006864e-06
14,314,1.9488402167565678e-06
15,315,2.9267017810002353e-06
16,316,5.26615458153278e-06
17,317,4.787997187669099e-06
18,318,9.998351874442828e-07
19,319,5.516738151149678e-07
20,320,3.047647131577892e-06
21,321,5.576652019569046e-06
22,322,6.485066725826041e-06
23,323,1.1533143685248227e-05
24,324,7.904990115361705e-06
25,325,9.832137058603943e-06
26,326,1.1067713439219961e-05
27,327,7.825262326467852e-06
28,328,1.3832542103093906e-05
29,329,1.486917503184345e-05
30,330,7.442596222793324e-06
31,331,8.681831286490768e-07
32,332,9.47222666668911e-07
33,333,1.0376426619387866e-06
34,334,1.0758429527055061e-06
35,335,6.930972090725089e-06
36,336,1.1900078565468687e-05
37,337,1.03013250352027e-05
38,338,1.3576082238140004e-06
39,339,1.5253254330257247e-06
40,340,1.6038888402492521e-06
41,341,1.7201964112053914e-06
42,342,1.8505118693725665e-06
43,343,3.5784040248164043e-06
44,344,1.8397862292438042e-05
45,345,7.3298068612035335e-06
46,346,1.3005150160941492e-05
47,347,2.3966388747498823e-05
48,348,2.2971453564029024e-05
49,349,5.287682994387633e-06
50,350,2.9280062462510633e-06
51,351,3.1173074209254564e-06
52,352,1.1078865284270643e-05
53,353,3.304917335498895e-05
54,354,8.89619549246407e-06
55,355,3.976766785878283e-06
56,356,4.197728041910905e-06
57,357,4.46785437545716e-06
58,358,5.0224796344162974e-06
59,359,3.9830909659167914e-05
60,360,5.500720541100643e-05
61,361,6.145360264269482e-05
62,362,5.5397474567022424e-05
63,363,9.277228525279185e-06
64,364,7.865920792640813e-06
65,365,8.194041081153119e-06
66,366,8.558667524745543e-06
67,367,8.964644016540377e-06
68,368,8.913529102776651e-06
69,369,7.373105590751508e-05
70,370,4.6991658241553784e-05
71,371,1.0741994028677368e-05
72,372,1.1284082786151633e-05
73,373,1.1923297959639914e-05
74,374,1.2544905834158292e-05
75,375,1.2325047893206733e-05
76,376,1.2442564689257037e-05
77,377,1.3195709519253244e-05
78,378,1.337719630125522e-05
79,379,0.00010089155223480665
80,380,0.00021071291727293735
81,381,0.00022560923613978767
82,382,0.00016951212358540553
83,383,0.0002858876640612004
84,384,0.0001836152639183746
85,385,0.00015640107230431875
86,386,0.0002208931812654958
87,387,0.0002945370439677925
88,388,0.00016299000685738059
89,389,0.0003016534856974242
90,390,0.0003523186584343705
91,391,0.00028979685532688727
92,392,0.0001779859758547042
93,393,0.00016749348919266248
94,394,0.00018201342411508265
95,395,0.00018966155247500185
96,396,0.0001937220214175973
97,397,0.00023329536547779083
98,398,0.0003720909356640011
99,399,0.0002237057123624685
100,400,0.0002032306135758126
101,401,0.00030470708288284683
102,402,0.000436041263816253
103,403,0.00044595636209665736
104,404,0.00044406367322952624
105,405,0.00029724000680285076
106,406,0.0002220985089293998
107,407,0.0002381688699692588
108,408,0.000257654486050931
109,409,0.0004449303100370503
110,410,0.0003308011833133962
111,411,0.0003686520553563307
112,412,0.0005101222025820088
113,413,0.0004945801934573323
114,414,0.0005277432103915814
115,415,0.00036561889410792123
116,416,0.0004189153771718202
117,417,0.0005046836398924282
118,418,0.00030387108405321756
119,419,0.000308916913267738
120,420,0.0005168499212226056
121,421,0.0005695203270136456
122,422,0.00045711817065144345
123,423,0.0003345311041965128
124,424,0.0006057266992622606
125,425,0.000641983448581175
126,426,0.0006848529599483809
127,427,0.0006900080874098719
128,428,0.0006583174972176413
129,429,0.0007022530749469908
130,430,0.0006267938097398114
131,431,0.0008920447294028278
132,432,0.0009604424560103425
133,433,0.0006882283714661271
134,434,0.0003281310915881151
135,435,0.0007053736725914154
136,436,0.0007664605011749165
137,437,0.0005989668833598645
138,438,0.0004106260064624393
139,439,0.000444961786485798
140,440,0.0008243420161153644
141,441,0.0004977852075342588
