,wavelengths,transmission
0,300,0.0
1,301,0.0
2,302,0.0
3,303,0.0
4,304,0.0
5,305,0.0
6,306,0.0
7,307,0.0
8,308,0.0
9,309,0.0
10,310,0.0
11,311,0.0
12,312,0.0
13,313,0.0
14,314,0.0
15,315,0.0
16,316,0.0
17,317,0.0
18,318,0.0
19,319,0.0
20,320,0.0
21,321,0.0
22,322,0.0
23,323,0.0
24,324,0.0
25,325,0.0
26,326,0.0
27,327,0.0
28,328,0.0
29,329,0.0
30,330,0.0
31,331,0.0
32,332,0.0
33,333,0.0
34,334,0.0
35,335,0.0
36,336,0.0
37,337,0.0
38,338,0.0
39,339,0.0
40,340,0.0
41,341,0.0
42,342,0.0
43,343,0.0
44,344,0.0
45,345,0.0
46,346,0.0
47,347,0.0
48,348,0.0
49,349,0.0
50,350,0.0
51,351,0.0
52,352,0.0
53,353,0.0
54,354,0.0
55,355,0.0
56,356,0.0
57,357,0.0
58,358,0.0
59,359,0.0
60,360,0.0
61,361,0.0
62,362,0.0
63,363,0.0
64,364,0.0
65,365,0.0
66,366,0.0
67,367,0.0
68,368,0.0
69,369,0.0
70,370,0.0
71,371,0.0
72,372,0.0
73,373,0.0
74,374,0.0
75,375,0.0
76,376,0.0
77,377,0.0
78,378,0.0
79,379,0.0
80,380,0.0
81,381,0.0
82,382,0.0
83,383,0.0
84,384,0.0
85,385,0.0
86,386,0.0
87,387,0.0
88,388,0.0
89,389,0.0
90,390,0.0
91,391,0.0
92,392,0.0
93,393,0.0
94,394,0.0
95,395,0.0
96,396,0.0
97,397,0.0
98,398,0.0
99,399,0.0
100,400,0.0
101,401,0.0
102,402,0.0
103,403,0.0
104,404,0.0
105,405,0.0
106,406,0.0
107,407,0.0
108,408,0.0
109,409,0.0
110,410,0.0
111,411,0.0
112,412,0.0
113,413,0.0
114,414,0.0
115,415,0.0
116,416,0.0
117,417,0.0
118,418,0.0
119,419,0.0
120,420,0.0
121,421,0.0
122,422,0.0
123,423,0.0
124,424,0.0
125,425,0.0
126,426,0.0
127,427,0.0
128,428,0.0
129,429,0.0
130,430,0.0
131,431,0.0
132,432,0.0
133,433,0.0
134,434,0.0
135,435,0.0
136,436,0.0
137,437,0.0
138,438,0.0
139,439,0.0
140,440,0.0
141,441,0.0
142,442,0.0
143,443,0.0
144,444,0.0
145,445,0.0
146,446,0.0
147,447,0.0
148,448,0.0
149,449,0.0
150,450,0.0
151,451,0.0
152,452,0.0
153,453,0.0
154,454,0.0
155,455,0.0
156,456,0.0
157,457,0.0
158,458,0.0
159,459,0.0
160,460,0.0
161,461,0.0
162,462,0.0
163,463,0.0
164,464,0.0
165,465,0.0
166,466,0.0
167,467,0.0
168,468,0.0
169,469,0.0
170,470,0.0
171,471,0.0
172,472,0.0
173,473,0.0
174,474,0.0
175,475,0.0
176,476,0.0
177,477,0.0
178,478,0.0
179,479,0.0
180,480,0.0
181,481,0.0
182,482,0.0
183,483,0.0
184,484,0.0
185,485,0.0
186,486,0.0
187,487,0.0
188,488,0.0
189,489,0.0
190,490,0.0
191,491,0.0
192,492,0.0
193,493,0.0
194,494,0.0
195,495,0.0
196,496,0.0
197,497,0.0
198,498,0.0
199,499,0.0
200,500,0.0
201,501,0.0
202,502,0.0
203,503,0.0
204,504,0.0
205,505,0.0
206,506,0.0
207,507,0.0
208,508,0.0
209,509,0.0
210,510,0.0
211,511,0.0
212,512,0.0
213,513,0.0
214,514,0.0
215,515,0.0
216,516,0.0
217,517,0.0
218,518,0.0
219,519,0.0
220,520,0.0
221,521,0.0
222,522,0.0
223,523,0.0
224,524,0.0
225,525,0.0
226,526,0.0
227,527,0.0
228,528,0.0
229,529,0.0
230,530,0.0
231,531,0.0
232,532,0.0
233,533,0.0
234,534,0.0
235,535,0.0
236,536,0.0
237,537,0.0
238,538,0.0
239,539,0.0
240,540,0.0
241,541,0.0
242,542,0.0
243,543,0.0
244,544,0.0
245,545,0.0
246,546,0.0
247,547,0.0
248,548,0.0
249,549,0.0
250,550,0.0
251,551,0.0
252,552,0.0
253,553,0.0
254,554,0.0
255,555,0.0
256,556,0.0
257,557,0.0
258,558,0.0
259,559,0.0
260,560,0.0
261,561,0.0
262,562,0.0
263,563,0.0
264,564,0.0
265,565,0.0
266,566,0.0
267,567,0.0
268,568,0.0
269,569,0.0
270,570,0.0
271,571,0.0
272,572,0.0
273,573,0.0
274,574,0.0
275,575,0.0
276,576,0.0
277,577,0.0
278,578,0.0
279,579,0.0
280,580,0.0
281,581,0.0
282,582,0.0
283,583,0.0
284,584,0.0
285,585,0.0
286,586,0.0
287,587,0.0
288,588,0.0
289,589,0.0
290,590,0.0
291,591,0.0
292,592,0.0
293,593,0.0
294,594,0.0
295,595,0.0
296,596,0.0
297,597,0.0
298,598,0.0
299,599,0.0
300,600,0.0
301,601,0.0
302,602,0.0
303,603,0.0
304,604,0.0
305,605,0.0
306,606,0.0
307,607,0.0
308,608,0.0
309,609,0.0
310,610,0.0
311,611,0.0
312,612,0.0
313,613,0.0
314,614,0.0
315,615,0.0
316,616,0.0
317,617,0.0
318,618,0.0
319,619,0.0
320,620,0.0
321,621,0.0
322,622,0.0
323,623,0.0
324,624,0.0
325,625,0.0
326,626,0.0
327,627,0.0
328,628,0.0
329,629,0.0
330,630,0.0
331,631,0.0
332,632,0.0
333,633,0.0
334,634,0.0
335,635,0.0
336,636,0.0
337,637,0.0
338,638,0.0
339,639,0.0
340,640,0.0
341,641,0.0
342,642,0.0
343,643,0.0
344,644,0.0
345,645,0.0
346,646,0.0
347,647,0.0
348,648,0.0
349,649,0.0
350,650,0.0
351,651,0.0
352,652,0.0
353,653,0.0
354,654,0.0
355,655,0.0
356,656,0.0
357,657,0.0
358,658,0.0
359,659,0.0
360,660,0.0
361,661,0.0
362,662,0.0
363,663,0.0
364,664,0.0
365,665,0.0
366,666,0.0
367,667,0.0
368,668,0.0
369,669,0.0
370,670,0.0
371,671,0.0
372,672,0.0
373,673,0.0
374,674,0.0
375,675,0.0
376,676,0.0
377,677,0.0
378,678,0.0
379,679,0.0
380,680,0.0
381,681,0.0
382,682,0.0
383,683,0.0
384,684,0.0
385,685,0.0
386,686,0.0
387,687,0.0
388,688,0.0
389,689,0.0
390,690,0.0
391,691,0.0
392,692,0.0
393,693,0.0
394,694,0.0
395,695,0.0
396,696,0.0
397,697,0.0
398,698,0.0
399,699,0.0
400,700,0.0
401,701,0.0
402,702,0.0
403,703,0.0
404,704,0.0
405,705,0.0
406,706,6.0690385079426865e-05
407,707,0.0002631447845090051
408,708,0.0004627027776862739
409,709,0.013353999191932676
