,wavelengths,transmission
0,300,9.331346418531973e-05
1,301,0.00025142739244997186
2,302,0.0008186566199274624
3,303,0.002671011893591779
4,304,0.004087545666426879
5,305,0.006034513694586197
6,306,0.008416147281426013
7,307,0.010704677765582381
8,308,0.012164422283839965
9,309,0.013985235061619004
10,310,0.01632305290961258
11,311,0.01795692991097572
12,312,0.018598133358015426
13,313,0.01999268774080086
14,314,0.021237476758522177
15,315,0.02152981491765046
16,316,0.021737473151928536
17,317,0.022549462007724442
18,318,0.022320444997127452
19,319,0.022344152083517223
20,320,0.022820511607654397
21,321,0.024292687855923426
22,322,0.025668327454921668
23,323,0.026394379097543986
24,324,0.02727466291422133
25,325,0.028281871341589052
26,326,0.029002612222703054
27,327,0.029261078541592926
28,328,0.02978086978686489
29,329,0.030461246969176313
30,330,0.031074053892078086
31,331,0.033620343422679194
32,332,0.03658334590492352
33,333,0.038703151407251266
34,334,0.040801214537186374
35,335,0.04356359804782465
36,336,0.046188369314492446
37,337,0.04821533425168898
38,338,0.04979301444611975
39,339,0.051804091339719034
40,340,0.05418425122254846
41,341,0.05749100183747437
42,342,0.06061409916686975
43,343,0.06349988761766191
44,344,0.06264891150109939
45,345,0.07093758442003816
46,346,0.07546483640294029
47,347,0.07616777013365741
48,348,0.07595584448821445
49,349,0.08177826819407967
50,350,0.08420790275046348
51,351,0.08882124489080226
52,352,0.09333588013250083
53,353,0.09557591028417986
54,354,0.10386683264637456
55,355,0.11074396020824231
56,356,0.11395666681277192
57,357,0.11646858277418114
58,358,0.12596259661582251
59,359,0.1313161377587153
60,360,0.13277856706946747
61,361,0.13616090752052928
62,362,0.14266140832874202
63,363,0.15582346106001266
64,364,0.15943618999816817
65,365,0.1602747386258875
66,366,0.16678134573146178
67,367,0.1787002885817316
68,368,0.17932978637540198
69,369,0.17573125026030118
70,370,0.18959968159232354
71,371,0.20047429007311965
72,372,0.20185915080024455
73,373,0.21824299620324322
74,374,0.2244352686277634
75,375,0.2291591907320823
76,376,0.23389952056617155
77,377,0.24007652376073693
78,378,0.25154612197103965
79,379,0.2579014301626768
80,380,0.2667680598937513
81,381,0.2743990305110483
82,382,0.2809307618802967
83,383,0.28736377058555795
84,384,0.29284969036923264
85,385,0.29752978596349194
86,386,0.3026919842489681
87,387,0.3089900169383432
88,388,0.31625020446337265
89,389,0.319129395229086
90,390,0.32755640360685434
91,391,0.33261905198146635
92,392,0.3346519461577811
93,393,0.33967610350562766
94,394,0.34478235991126105
95,395,0.34969760063092425
96,396,0.3543216831936939
97,397,0.3586472439631941
98,398,0.362231445169902
99,399,0.36514383575461956
100,400,0.3691959139282706
101,401,0.3737219892743858
102,402,0.37871193224189015
103,403,0.3820997211786619
104,404,0.3858130201554096
105,405,0.3907621552478878
106,406,0.3940356782536239
107,407,0.39681587115193456
108,408,0.4023301187735464
109,409,0.4055277824792182
110,410,0.4101678956615182
111,411,0.41616097809459046
112,412,0.4217968729446233
113,413,0.42597293209192594
114,414,0.4304924271600161
115,415,0.43086699852328064
116,416,0.4340301301127774
117,417,0.4407420880644727
118,418,0.4484112068176407
119,419,0.4524720677303422
120,420,0.45494037337832055
121,421,0.4588121955126661
122,422,0.4593602440704632
123,423,0.4548991019185454
124,424,0.46449189046943934
125,425,0.4633110715374828
126,426,0.44820442449582343
127,427,0.4497550199746862
128,428,0.4739971969387526
129,429,0.48296844093379543
130,430,0.47601245602696546
131,431,0.40052590490722195
132,432,0.2186571130317602
133,433,0.031499636178911355
134,434,0.03147193867968958
135,435,0.007603616786924619
136,436,0.0025627124074632237
137,437,0.0019852342448797534
138,438,0.0016403242800671373
139,439,0.0016282191624833711
140,440,0.0017320118787776944
141,441,0.0012352774318097315
142,442,0.0011125537174547669
143,443,0.0011849555946896204
144,444,0.0011631098456640328
145,445,0.0012013061232149262
