target,ra,dec,z,mass,c
Abell2744,3.5875,-30.3972,0.308,14.12176598050477,4.399205924653089
MACSJ0035.4-2015,8.85,-20.2708,0.352,14.864260419361058,4.439299674078709
Abell2813,10.8624,-20.6169,0.292,14.916647752706332,5.914381277307173
RXCJ0118.1-2658,19.5458,-26.97,0.227,14.17359212751236,4.013731867174988
Abell209,22.9708,-13.6108,0.206,14.602280814944184,5.579447994683502
MACSJ0159.8-0849,29.9749,-8.8588,0.405,14.436356906948165,4.36108975465358
RXCJ0220.9-3829,35.2375,-38.48,0.228,14.307122943457106,5.834915085458563
RXCJ0232.2-4420,38.0749,-44.3611,0.284,14.38777601422339,5.751498055137694
Abell370,39.9708,-1.5769,0.375,14.292120587057134,5.94044091696683
AbellS295,41.3666,-53.0422,0.3,14.23847064987478,4.291592503637926
Abell383,42.0125,-3.5291,0.187,14.17978060135047,4.411916913402733
SPT-CLJ0254-5857,43.5666,-58.953,0.438,14.302743771178845,5.424537865134566
RXCJ0304.1-3656,46.0166,-36.9408,0.219,14.048132499755134,4.6412395462010085
Abell3088,46.7583,-28.6658,0.253,14.302050835879763,3.6701339051625554
PLCKG171.9-40.7,48.2375,8.3719,0.27,14.497517724543616,4.333572634003278
Abell3140,54.0666,-40.6288,0.062,14.322258980231778,5.693755173006689
Abell3192,59.7041,-29.9344,0.425,14.055927009757408,4.3062844267853215
MACSJ0416.1-2403,64.0375,-24.0677,0.42,14.87004422363096,3.8804945899752603
MACSJ0417.5-1154,64.4041,-11.8958,0.443,14.303198365954248,5.472964743015415
MACSJ0429.6-0253,67.3999,-2.8855,0.399,14.694866846137636,3.6465460200022566
Abell3292,72.4875,-44.6733,0.172,14.765876666723525,4.934502354185428
Abell520,73.5458,2.9336,0.203,14.131984050687793,4.623266314120589
RXCJ0528.2-2942,82.0625,-29.7174,0.158,14.76175071961824,3.7034783124617876
Abell3364,86.9083,-31.8733,0.148,14.359599988582218,4.0297920739609046
MACSJ0553.4-3342,88.35,-33.7116,0.407,14.209104076920704,5.587269297920816
RXCJ0600.1-2007,90.0625,-20.1241,0.46,14.53839685778793,5.462203601118932
AbellS0592,99.6875,-53.9727,0.222,14.822308915043646,4.668583634915502
1E0657_Bullet,104.6125,-55.9475,0.296,14.483300149442623,5.616441312278175
MACSJ0723.3-7327_JWST,110.8375,-73.4391,0.39,14.762336874489309,4.450770414338497
COSMOS106,149.8583,1.765,0.12,14.847413222495256,4.847578685555671
COSMOS67,154.2916,1.555,0.22,14.373813175922391,5.0310855060588295
MS1008.1-1224,152.5999,-12.6438,0.306,14.660837965200807,5.008944964936567
MACSJ1105.7-1014,166.4458,-10.2461,0.466,14.23168460311687,4.201973701108116
MACSJ1115.9+0129,168.9666,1.4991,0.352,14.40409699078094,4.705057788136905
PLCKG287.0+32.9,177.7041,-28.0852,0.39,14.669051664170428,5.171202537898397
MACSJ1206.2-0847,181.55,-8.8005,0.44,14.460092599755727,3.589016394365761
ZwCL5247,188.6046,9.7926,0.023,14.199814406867928,5.403228855607526
Abell3526,192.1958,-41.3088,0.011,14.973909450385182,3.7261676682870024
MACSJ1311.0-0310,197.7583,-3.1777,0.494,14.848056324781746,5.358261363688143
Abell1689,197.8708,-1.3361,0.181,14.6266531189774,5.216899790058227
Abell3558,201.9958,-31.5011,0.048,14.170861776524474,5.393794511157798
Abell3571,206.875,-32.8719,0.039,14.401558297611418,4.279067151442311
RXJ1347.5-1145,206.8791,-11.7527,0.451,14.827619423198826,4.102321824206067
RXCJ1514.9-1523,228.75,-15.3563,0.223,14.598849660299605,4.06460080893729
PLCKG308.3-20.2,229.6083,-81.5027,0.48,14.587802354125724,4.213709430146331
Abell2163,243.9541,-6.1522,0.203,14.15078772746853,5.339532167853076
MACSJ1931.8-2635,292.9583,-26.5761,0.352,14.702039856135585,5.15308997377889
Abell3667,303.1414,-56.8406,0.055,14.233790420433698,4.453193471345568
MS2137-2353,325.0625,-23.6613,0.313,14.67118170477664,4.497992788921362
Abell3827,330.4541,-59.9541,0.098,14.485154761515004,3.7551401376396116
RXJ2248.7-4431,342.1833,-44.53,0.348,14.366530007560652,4.180364635427765
